month,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
January,5901.8436363636365,1374.6036363636363,20.003636363636364,44.86545454545455,12.962618181818181,234.00989090909093
February,5901.8436363636365,1374.6036363636363,20.003636363636364,44.86545454545455,12.962618181818181,234.00989090909093
March,5901.8436363636365,1374.6036363636363,20.003636363636364,44.86545454545455,12.962618181818181,234.00989090909093
April,5901.8436363636365,1374.6036363636363,20.003636363636364,44.86545454545455,12.962618181818181,234.00989090909093
May,5901.8436363636365,1374.6036363636363,20.003636363636364,44.86545454545455,12.962618181818181,234.00989090909093
June,5901.8436363636365,1374.6036363636363,20.003636363636364,44.86545454545455,12.962618181818181,234.00989090909093
July,5901.8436363636365,1374.6036363636363,20.003636363636364,44.86545454545455,12.962618181818181,234.00989090909093
August,5901.8436363636365,1374.6036363636363,20.003636363636364,44.86545454545455,12.962618181818181,234.00989090909093
September,5901.8436363636365,1374.6036363636363,20.003636363636364,44.86545454545455,12.962618181818181,234.00989090909093
October,5901.8436363636365,1374.6036363636363,20.003636363636364,44.86545454545455,12.962618181818181,234.00989090909093
November,5901.8436363636365,1374.6036363636363,20.003636363636364,44.86545454545455,12.962618181818181,234.00989090909093
December,5901.8436363636365,1374.6036363636363,20.003636363636364,44.86545454545455,12.962618181818181,234.00989090909093
