year,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
2014,7588.84,1492.52,24.48,44.08,0.2924,6.3472
2015,7613.48,1617.24,26.68,49.72,0.3112,3.2464000000000004
2016,6319.28,675.6,21.64,38.52,16.3372,1154.2748
2017,6865.28,1634.64,25.16,47.48,0.308,2.6908
2018,5166.88,1369.92,22.88,53.08,73.6016,910.1704
2019,6720.0,1828.6,22.68,52.36,7.408799999999999,2.5540000000000003
2020,4070.0,955.68,11.16,25.68,0.2516,202.7448
2021,2272.96,670.56,11.68,24.0,38.7928,3.3055999999999996
2022,5389.92,1355.0,20.28,51.28,4.8132,283.08
2023,6480.52,1807.24,18.08,58.0,0.2424,3.0764
2024,6433.12,1713.64,15.32,49.32,0.2296,2.6184
