province,district,pm2.5_ug_m3,no2_ug_m3,so2_ug_m3,tc_loss_ha,frp_total,vim,asthma_live_discharges,bronchitis_live_discharges,asthma_cfr,bronchitis_cfr,total_population_1k,male_population_1k,female_population_1k
Central,Kandy,13.369872013560606,11.622534096681818,1.9424662660151515,176.72727272727272,44.12340909090909,0.742051136378788,8724.272727272728,4839.545454545455,0.43727272727272726,244.54999999999998,1462.5454545454545,697.4545454545455,765.0909090909091
Central,Matale,14.899688858492425,10.390746738363637,1.6256270518863638,505.90909090909093,72.63772727272728,0.7400744949545455,3144.7272727272725,1890.4545454545455,0.4636363636363637,466.5618181818182,517.2727272727273,249.54545454545453,267.72727272727275
Central,Nuwara Eliya,12.030132162212121,13.186843623757577,2.293527432037879,273.8181818181818,31.205378787878786,0.7319936868636364,3010.818181818182,1919.4545454545455,27.673636363636366,411.18636363636364,764.2727272727273,365.45454545454544,398.8181818181818
Eastern,Ampara,16.118140956674242,5.761404954568182,0.9367808397348485,352.0,305.2806060606061,0.6626969697045455,7824.090909090909,2019.090909090909,0.08818181818181818,1.4445454545454546,719.0909090909091,348.0,371.09090909090907
Eastern,Batticaloa,15.442592159810607,4.508943111931818,0.9906894505378787,162.9090909090909,103.62431818181818,0.579355429280303,4056.3636363636365,708.0909090909091,4.608181818181818,2.0236363636363635,568.2727272727273,270.6363636363636,297.6363636363636
Eastern,Trincomalee,17.361697085545455,3.5777224172196966,0.8172405565,369.6363636363636,107.9176515151515,0.6432039141515151,2999.4545454545455,836.6363636363636,0.2581818181818182,1.6663636363636365,422.72727272727275,208.8181818181818,213.9090909090909
North Central,Anuradhapura,17.678894078325754,4.337477307848485,1.089863034507576,1357.909090909091,602.0993939393938,0.6901452020227273,6336.181818181818,1629.1818181818182,0.2972727272727273,339.6454545454545,929.8181818181819,453.90909090909093,475.90909090909093
North Central,Polonnaruwa,16.05414906760606,6.717117017333334,1.1633496967575756,335.72727272727275,164.68424242424243,0.6860486111212122,3135.2727272727275,884.6363636363636,0.25545454545454543,3.896363636363637,436.54545454545456,216.0,220.54545454545453
North Western,Kurunegala,17.10390006896212,9.43122930535606,1.677693637409091,1424.4545454545455,178.62098484848485,0.705305555530303,13081.454545454546,1216.2727272727273,87.65272727272728,1239.8081818181818,1706.090909090909,819.4545454545455,886.6363636363636
North Western,Puttalam,18.762840836242425,4.652101594757576,1.3518840707348485,515.7272727272727,133.55439393939395,0.6611534090909091,3795.5454545454545,349.27272727272725,0.5945454545454546,5.473636363636364,822.5454545454545,398.09090909090907,424.45454545454544
Northern,Jaffna,20.918253045984848,1.2818914318484849,1.1029532655681817,26.181818181818183,11.900833333333335,0.4513787878863636,7026.545454545455,784.9090909090909,10.335454545454546,9.08909090909091,614.2727272727273,288.45454545454544,325.8181818181818
