month,pm2.5_ug_m3,frp_total,vim,asthma_live_discharges,bronchitis_live_discharges,no2_ug_m3
January,14.565567382352727,12.611563636363636,0.7317751515163636,5901.8436363636365,1374.6036363636363,8.892764600007272
February,15.554333055443637,50.943636363636365,0.6967427272727273,5901.8436363636365,1374.6036363636363,8.476236531181819
March,17.813775285381816,151.13578181818184,0.6613836363636364,5901.8436363636365,1374.6036363636363,9.30304041888
April,15.950468275149092,81.01632727272728,0.6618172727309091,5901.8436363636365,1374.6036363636363,9.431267818916364
May,18.98238181382545,22.88770909090909,0.6718575757418183,5901.8436363636365,1374.6036363636363,6.679609631043636
June,18.97273333221818,63.164690909090915,0.6817096969672728,5901.8436363636365,1374.6036363636363,4.962818777781818
July,19.620304031527272,195.67065454545454,0.6543712121272727,5901.8436363636365,1374.6036363636363,4.916478396487273
August,17.687661218996364,413.30989090909094,0.6368209090909092,5901.8436363636365,1374.6036363636363,5.18579372148
September,15.065227300632726,355.56134545454546,0.6411196969672728,5901.8436363636365,1374.6036363636363,5.899908377272728
October,13.468479765247272,90.1333090909091,0.6680918182036364,5901.8436363636365,1374.6036363636363,8.460555786323635
November,15.900440397465454,4.214545454545455,0.6970851515127273,5901.8436363636365,1374.6036363636363,9.941584979814547
December,14.528183382807272,2.6074545454545452,0.7300481818145454,5901.8436363636365,1374.6036363636363,9.531131891803636
