,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr,pm2.5_ug_m3,no2_ug_m3,so2_ug_m3,frp_total,frp_mean,brightness,bright_t31,tc_loss_ha,carbon_gross_emissions_yearly,vim,vim_anomaly,vim_climatology,total_population_1k,male_population_1k,female_population_1k
asthma_live_discharges,1.0,0.7475992707141272,0.43565787078083174,0.33607145272777605,-0.17745967174967756,-0.08536235574808142,0.06835838063472315,0.016079629120301333,-0.02758552343421979,0.015482870491316114,-0.12322372495230659,-0.12889803653651669,-0.12770954259362385,0.04316435340766766,0.03184842276493656,-0.034499031181549566,-0.047403637180290614,-0.005874472377294004,-0.001658661470225445,-0.0010250906474427127,-0.0022603483514347373
bronchitis_live_discharges,0.7475992707141272,1.0,0.2623431013914561,0.595752733959363,-0.20044925558352128,-0.030455221480232803,0.032149259066408364,-0.051259072492806645,-0.013993875609056301,0.015367633835305042,-0.0981946144720097,-0.09287810828626045,-0.08993480910717463,-0.04222859719580217,-0.10318107746592257,-0.0547921217429622,-0.07552723987889393,-0.010364343842769703,-0.1362409544315702,-0.13024756292864806,-0.14191072206783809
asthma_deaths,0.43565787078083174,0.2623431013914561,1.0,0.04203896199459179,0.7526528398187743,-0.18509910320388823,-0.055268110381309084,-0.319275674423472,-0.0019790678570814554,0.08474862955410987,0.013218270174111878,-0.023148509689467654,-0.028451232400664078,0.05832419294778797,0.024842607937247827,-0.02244788679307557,-0.03232395837835778,-0.0027029838708392197,-0.4795236787225311,-0.47816955420740137,-0.48072274928195446
bronchitis_deaths,0.33607145272777605,0.595752733959363,0.04203896199459179,1.0,-0.3124810443166462,0.7636470275730292,0.12489665862620074,0.005868956243842992,0.03292133767347512,-0.07031387076815868,-0.07130352075493472,0.037187316289279584,0.04241317603690683,0.32750599929798535,0.2967233136982147,0.05881461019076488,0.1021577583303661,-0.006027476800923164,-0.09411449899443604,-0.08438954748610518,-0.10333751446337126
asthma_cfr,-0.17745967174967756,-0.20044925558352128,0.7526528398187743,-0.3124810443166462,1.0,-0.3637050464487647,-0.13487264693549303,-0.322642818133457,0.0008467460128161825,0.09574227536397516,0.14976565104228284,0.07327615219523816,0.06708859923278661,0.05852967040700133,0.051339227214635755,-0.028407066872884374,-0.05051365565284886,0.0038299337264458997,-0.45910208328723195,-0.46037421584657606,-0.45780953443356176
bronchitis_cfr,-0.08536235574808142,-0.030455221480232803,-0.18509910320388823,0.7636470275730292,-0.3637050464487647,1.0,0.13701022232395396,0.07811414373990781,0.049614350091573986,-0.10895097463061942,-0.060792769388581934,0.08261345836009723,0.08683618594965872,0.36295243949739137,0.3732028991619613,0.1261868332544184,0.20457175254333668,-0.0008263456019407464,0.04507040887485572,0.05230319372785379,0.03818992135462771
pm2.5_ug_m3,0.06835838063472315,0.032149259066408364,-0.055268110381309084,0.12489665862620074,-0.13487264693549303,0.13701022232395396,1.0,-0.22518961106064045,0.3767709425017273,0.2380728098276162,0.14388401352332694,0.2705726982571215,0.2662469846253497,0.15279796331300075,0.13896946081496075,-0.07567470012010133,-0.05226168778290284,-0.05324274512075708,0.0683650738385131,0.0691740893576212,0.06758390190649954
no2_ug_m3,0.016079629120301333,-0.051259072492806645,-0.319275674423472,0.005868956243842992,-0.322642818133457,0.07811414373990781,-0.22518961106064045,1.0,-0.17019947368095517,-0.36682442108761787,-0.09183257955787247,-0.09047014806651622,-0.08740434368508966,-0.058904521860697646,0.012474695902572639,-0.025370725873512866,0.08872953707838059,-0.0971601567662615,0.5601581576653505,0.5600737924306649,0.5601360385840963
so2_ug_m3,-0.02758552343421979,-0.013993875609056301,-0.0019790678570814554,0.03292133767347512,0.0008467460128161825,0.049614350091573986,0.3767709425017273,-0.17019947368095517,1.0,0.4610705412784594,0.3534886965924076,0.41594199567678186,0.402031496545148,-0.0036678851022697795,0.0014528760288018683,-0.34430567952847557,0.20804610465176898,-0.5669920878783379,0.040464241953979116,0.041089770480481215,0.03986250528891296
frp_total,0.015482870491316114,0.015367633835305042,0.08474862955410987,-0.07031387076815868,0.09574227536397516,-0.10895097463061942,0.2380728098276162,-0.36682442108761787,0.4610705412784594,1.0,0.3145638141379682,0.26861094946906283,0.25953854138815274,0.06169020842559823,0.0375858648347545,-0.5270556937618833,-0.20146427074454137,-0.47963318286500667,-0.16049369336733188,-0.16109275118930075,-0.1598951918186067
frp_mean,-0.12322372495230659,-0.0981946144720097,0.013218270174111878,-0.07130352075493472,0.14976565104228284,-0.060792769388581934,0.14388401352332694,-0.09183257955787247,0.3534886965924076,0.3145638141379682,1.0,0.6793731184528045,0.668149713561917,-0.014141839795129759,-0.003176244098962267,-0.3937291750557474,0.002983899846441007,-0.4723598501376858,-0.03213990404413304,-0.03371792388216416,-0.030634674061140184
brightness,-0.12889803653651669,-0.09287810828626045,-0.023148509689467654,0.037187316289279584,0.07327615219523816,0.08261345836009723,0.2705726982571215,-0.09047014806651622,0.41594199567678186,0.26861094946906283,0.6793731184528045,1.0,0.9992507551373552,0.0363046122403036,0.0468409227570526,-0.3426397242266045,0.09745852381184453,-0.48248126214333126,-0.010774786051060152,-0.010907268467171485,-0.010646940014300003
bright_t31,-0.12770954259362385,-0.08993480910717463,-0.028451232400664078,0.04241317603690683,0.06708859923278661,0.08683618594965872,0.2662469846253497,-0.08740434368508966,0.402031496545148,0.25953854138815274,0.668149713561917,0.9992507551373552,1.0,0.04054193614068969,0.051477883915834334,-0.33595249913131003,0.0930048364560708,-0.47120014859807974,-0.007689159892561299,-0.007774300570325098,-0.007606859192305461
tc_loss_ha,0.04316435340766766,-0.04222859719580217,0.05832419294778797,0.32750599929798535,0.05852967040700133,0.36295243949739137,0.15279796331300075,-0.058904521860697646,-0.0036678851022697795,0.06169020842559823,-0.014141839795129759,0.0363046122403036,0.04054193614068969,1.0,0.9814065515277168,-0.02433989467823779,-0.0515717789091708,0.011959118213101545,-0.12608093806896378,-0.12107313465795717,-0.13081610053081605
carbon_gross_emissions_yearly,0.03184842276493656,-0.10318107746592257,0.024842607937247827,0.2967233136982147,0.051339227214635755,0.3732028991619613,0.13896946081496075,0.012474695902572639,0.0014528760288018683,0.0375858648347545,-0.003176244098962267,0.0468409227570526,0.051477883915834334,0.9814065515277168,1.0,0.002297716669917482,-0.011240172364073063,0.013799115170485727,0.00865190905733122,0.013022347278921275,0.0044977407517528345
vim,-0.034499031181549566,-0.0547921217429622,-0.02244788679307557,0.05881461019076488,-0.028407066872884374,0.1261868332544184,-0.07567470012010133,-0.025370725873512866,-0.34430567952847557,-0.5270556937618833,-0.3937291750557474,-0.3426397242266045,-0.33595249913131003,-0.02433989467823779,0.002297716669917482,1.0,0.5521844992338691,0.7842790720904116,0.1148686708877988,0.11590291135251898,0.11386500954279524
vim_anomaly,-0.047403637180290614,-0.07552723987889393,-0.03232395837835778,0.1021577583303661,-0.05051365565284886,0.20457175254333668,-0.05226168778290284,0.08872953707838059,0.20804610465176898,-0.20146427074454137,0.002983899846441007,0.09745852381184453,0.0930048364560708,-0.0515717789091708,-0.011240172364073063,0.5521844992338691,1.0,-0.08397704139175932,0.18005536493915747,0.18180117356637465,0.1783637019789245
vim_climatology,-0.005874472377294004,-0.010364343842769703,-0.0027029838708392197,-0.006027476800923164,0.0038299337264458997,-0.0008263456019407464,-0.05324274512075708,-0.0971601567662615,-0.5669920878783379,-0.47963318286500667,-0.4723598501376858,-0.48248126214333126,-0.47120014859807974,0.011959118213101545,0.013799115170485727,0.7842790720904116,-0.08397704139175932,1.0,0.0015501719151297113,0.0014828418430120672,0.0016138627949311138
total_population_1k,-0.001658661470225445,-0.1362409544315702,-0.4795236787225311,-0.09411449899443604,-0.45910208328723195,0.04507040887485572,0.0683650738385131,0.5601581576653505,0.040464241953979116,-0.16049369336733188,-0.03213990404413304,-0.010774786051060152,-0.007689159892561299,-0.12608093806896378,0.00865190905733122,0.1148686708877988,0.18005536493915747,0.0015501719151297113,1.0,0.9999014596345256,0.9999110389453318
male_population_1k,-0.0010250906474427127,-0.13024756292864806,-0.47816955420740137,-0.08438954748610518,-0.46037421584657606,0.05230319372785379,0.0691740893576212,0.5600737924306649,0.041089770480481215,-0.16109275118930075,-0.03371792388216416,-0.010907268467171485,-0.007774300570325098,-0.12107313465795717,0.013022347278921275,0.11590291135251898,0.18180117356637465,0.0014828418430120672,0.9999014596345256,1.0,0.9996252595635714
female_population_1k,-0.0022603483514347373,-0.14191072206783809,-0.48072274928195446,-0.10333751446337126,-0.45780953443356176,0.03818992135462771,0.06758390190649954,0.5601360385840963,0.03986250528891296,-0.1598951918186067,-0.030634674061140184,-0.010646940014300003,-0.007606859192305461,-0.13081610053081605,0.0044977407517528345,0.11386500954279524,0.1783637019789245,0.0016138627949311138,0.9999110389453318,0.9996252595635714,1.0
