year,January,February,March,April,May,June,July,August,September,October,November,December
2014,8919.0,8919.0,8919.0,8919.0,8919.0,8919.0,8919.0,8919.0,8919.0,8919.0,8919.0,8919.0
2015,8472.0,8472.0,8472.0,8472.0,8472.0,8472.0,8472.0,8472.0,8472.0,8472.0,8472.0,8472.0
2016,6131.0,6131.0,6131.0,6131.0,6131.0,6131.0,6131.0,6131.0,6131.0,6131.0,6131.0,6131.0
2017,6266.0,6266.0,6266.0,6266.0,6266.0,6266.0,6266.0,6266.0,6266.0,6266.0,6266.0,6266.0
2018,8885.0,8885.0,8885.0,8885.0,8885.0,8885.0,8885.0,8885.0,8885.0,8885.0,8885.0,8885.0
2019,10400.0,10400.0,10400.0,10400.0,10400.0,10400.0,10400.0,10400.0,10400.0,10400.0,10400.0,10400.0
2020,3383.0,3383.0,3383.0,3383.0,3383.0,3383.0,3383.0,3383.0,3383.0,3383.0,3383.0,3383.0
2021,3924.0,3924.0,3924.0,3924.0,3924.0,3924.0,3924.0,3924.0,3924.0,3924.0,3924.0,3924.0
2022,8586.0,8586.0,8586.0,8586.0,8586.0,8586.0,8586.0,8586.0,8586.0,8586.0,8586.0,8586.0
2023,10328.0,10328.0,10328.0,10328.0,10328.0,10328.0,10328.0,10328.0,10328.0,10328.0,10328.0,10328.0
2024,10771.0,10771.0,10771.0,10771.0,10771.0,10771.0,10771.0,10771.0,10771.0,10771.0,10771.0,10771.0
