year,January,February,March,April,May,June,July,August,September,October,November,December
2014,9091.0,9091.0,9091.0,9091.0,9091.0,9091.0,9091.0,9091.0,9091.0,9091.0,9091.0,9091.0
2015,9393.0,9393.0,9393.0,9393.0,9393.0,9393.0,9393.0,9393.0,9393.0,9393.0,9393.0,9393.0
2016,6889.0,6889.0,6889.0,6889.0,6889.0,6889.0,6889.0,6889.0,6889.0,6889.0,6889.0,6889.0
2017,6903.0,6903.0,6903.0,6903.0,6903.0,6903.0,6903.0,6903.0,6903.0,6903.0,6903.0,6903.0
2018,6680.0,6680.0,6680.0,6680.0,6680.0,6680.0,6680.0,6680.0,6680.0,6680.0,6680.0,6680.0
2019,7176.0,7176.0,7176.0,7176.0,7176.0,7176.0,7176.0,7176.0,7176.0,7176.0,7176.0,7176.0
2020,3958.0,3958.0,3958.0,3958.0,3958.0,3958.0,3958.0,3958.0,3958.0,3958.0,3958.0,3958.0
2021,2371.0,2371.0,2371.0,2371.0,2371.0,2371.0,2371.0,2371.0,2371.0,2371.0,2371.0,2371.0
2022,4992.0,4992.0,4992.0,4992.0,4992.0,4992.0,4992.0,4992.0,4992.0,4992.0,4992.0,4992.0
2023,6020.0,6020.0,6020.0,6020.0,6020.0,6020.0,6020.0,6020.0,6020.0,6020.0,6020.0,6020.0
2024,6225.0,6225.0,6225.0,6225.0,6225.0,6225.0,6225.0,6225.0,6225.0,6225.0,6225.0,6225.0
