month,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
January,6336.181818181818,1629.1818181818182,18.90909090909091,63.63636363636363,0.2972727272727273,339.6454545454545
February,6336.181818181818,1629.1818181818182,18.90909090909091,63.63636363636363,0.2972727272727273,339.6454545454545
March,6336.181818181818,1629.1818181818182,18.90909090909091,63.63636363636363,0.2972727272727273,339.6454545454545
April,6336.181818181818,1629.1818181818182,18.90909090909091,63.63636363636363,0.2972727272727273,339.6454545454545
May,6336.181818181818,1629.1818181818182,18.90909090909091,63.63636363636363,0.2972727272727273,339.6454545454545
June,6336.181818181818,1629.1818181818182,18.90909090909091,63.63636363636363,0.2972727272727273,339.6454545454545
July,6336.181818181818,1629.1818181818182,18.90909090909091,63.63636363636363,0.2972727272727273,339.6454545454545
August,6336.181818181818,1629.1818181818182,18.90909090909091,63.63636363636363,0.2972727272727273,339.6454545454545
September,6336.181818181818,1629.1818181818182,18.90909090909091,63.63636363636363,0.2972727272727273,339.6454545454545
October,6336.181818181818,1629.1818181818182,18.90909090909091,63.63636363636363,0.2972727272727273,339.6454545454545
November,6336.181818181818,1629.1818181818182,18.90909090909091,63.63636363636363,0.2972727272727273,339.6454545454545
December,6336.181818181818,1629.1818181818182,18.90909090909091,63.63636363636363,0.2972727272727273,339.6454545454545
