,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr,pm2.5_ug_m3,no2_ug_m3,so2_ug_m3,frp_total,frp_mean,brightness,bright_t31,tc_loss_ha,carbon_gross_emissions_yearly,vim,vim_anomaly,vim_climatology,total_population_1k,male_population_1k,female_population_1k
asthma_live_discharges,1.0,0.1130758962728159,0.20421005665955702,-0.019974386785509817,-0.7715294910433089,-0.08298580363460287,-0.02247358608540694,-0.011221847103833352,0.02679018539744971,-0.10096407811953079,0.017866912559169654,-0.05005569673381227,-0.05406268538360214,-0.014275280423784547,-0.008382652870200666,0.09748548992255535,0.13953466178200274,-0.004376131141400019,-0.1713960801221181,-0.1670794345475325,-0.17526368921003446
bronchitis_live_discharges,0.1130758962728159,1.0,-0.27930552357924215,0.7234830423611301,0.13606501307804708,0.06815059641355319,0.09490807844091742,0.10411687347731731,-0.03638804888882162,0.07645101183286707,-0.026264647753458683,0.004121086480620418,0.00317330188386378,0.31886951984501677,0.29546405908900436,-0.05514174055453423,-0.07068139994782827,0.0006839098849393906,0.15484784633824827,0.160696346347953,0.1494715807562394
asthma_deaths,0.20421005665955702,-0.27930552357924215,1.0,0.040145438958391004,0.15822860678813108,0.38752228964047436,-0.056369186854678094,-0.3882149023530886,-0.02946273784432278,0.013499547171894723,-0.025072261842960873,-0.1048602666544399,-0.10435864961238141,-0.5326126591292919,-0.5960238092652277,-0.04009092616947393,-0.05576582157819709,-0.004272905421497445,-0.9334266407233107,-0.9316378489406109,-0.9347260019873592
bronchitis_deaths,-0.019974386785509817,0.7234830423611301,0.040145438958391004,1.0,0.3405282780148219,0.7303179789632196,0.16794946580934114,-0.040811993897102126,-0.011476165844658924,0.07549428143575124,-0.050896266883276996,-0.04232780920885764,-0.0390478468984433,0.13165639207706772,0.10761340039180713,-0.04918195518079681,-0.0638806241965421,-0.004668820745709829,-0.15328810191360914,-0.14917721213259716,-0.15697485465185584
asthma_cfr,-0.7715294910433089,0.13606501307804708,0.15822860678813108,0.3405282780148219,1.0,0.36315604684211233,0.0816681057065213,-0.1788963988955274,-0.03090022771991923,0.17512863369277346,-0.049024060244207156,-0.010531670316297186,-0.005959370260208504,0.22346736045276386,0.1648905527930192,-0.13780001832050084,-0.20055848893005251,0.007371005623997084,-0.24109768897413048,-0.24372681164152127,-0.2386205322196271
bronchitis_cfr,-0.08298580363460287,0.06815059641355319,0.38752228964047436,0.7303179789632196,0.36315604684211233,1.0,0.14319705682193146,-0.1946155456765662,0.022228104656923462,0.0412545115005895,-0.03307149514146629,-0.07199126108578786,-0.06766314821462459,-0.11528671803097139,-0.13235958437541398,-0.02229121562293814,-0.03135436227724604,-0.0064180046563429485,-0.4288566434206149,-0.4294784085091094,-0.428140021315116
pm2.5_ug_m3,-0.02247358608540694,0.09490807844091742,-0.056369186854678094,0.16794946580934114,0.0816681057065213,0.14319705682193146,1.0,-0.061947714045412314,0.08303860563007145,0.08346354603109456,0.008155074563976412,0.07021094229394491,0.07999402118717051,0.1359600112730857,0.14113515217929415,-0.12864068261064449,-0.12718838873792854,-0.05333055987759823,0.042993711006860336,0.040497478601997317,0.045250015184739596
no2_ug_m3,-0.011221847103833352,0.10411687347731731,-0.3882149023530886,-0.040811993897102126,-0.1788963988955274,-0.1946155456765662,-0.061947714045412314,1.0,-0.6038944039348576,-0.4515112543445626,-0.34158506392165866,-0.3100215276373705,-0.29935991771152093,0.12721047854038361,0.1624848093394232,0.35430523274410447,-0.0076771630628199505,0.4458948162018759,0.40924277404824494,0.410053620715034,0.4083609978685517
so2_ug_m3,0.02679018539744971,-0.03638804888882162,-0.02946273784432278,-0.011476165844658924,-0.03090022771991923,0.022228104656923462,0.08303860563007145,-0.6038944039348576,1.0,0.4668802768178256,0.4067992870113428,0.21395309786402755,0.1944631964084807,0.03629173769013998,0.042910763933044146,-0.5498337206022903,0.1094510869906374,-0.7703153200774555,0.037640628216051415,0.03690404335980118,0.03829763768809576
frp_total,-0.10096407811953079,0.07645101183286707,0.013499547171894723,0.07549428143575124,0.17512863369277346,0.0412545115005895,0.08346354603109456,-0.4515112543445626,0.4668802768178256,1.0,0.35354610003127196,0.22302707356272924,0.213846299291401,0.09609541472969875,0.08450118920017886,-0.6093228361031603,-0.21616423397294382,-0.5622798529620152,-0.04293464955749172,-0.04345765856449382,-0.04244363915043005
