year,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
2014,8796.0,2033.0,38.0,71.0,0.43,3.49
2015,8019.0,2310.0,36.0,93.0,0.45,4.03
2016,7.0,2457.0,28.0,108.0,400.0,4.4
2017,7803.0,2598.0,19.0,110.0,0.24,4.23
2018,8209.0,3117.0,24.0,113.0,0.29,3.6300000000000003
2019,9.0,3332.0,16.0,114.0,177.78,3.42
2020,4951.0,2044.0,12.0,54.0,0.24,2.64
2021,2646.0,1178.0,19.0,32.0,0.7200000000000001,2.72
2022,5677.0,2509.0,13.0,112.0,0.23,4.46
2023,7274.0,3072.0,14.0,100.0,0.19000000000000003,3.26
2024,8078.0,3211.0,13.0,71.0,0.16,2.21
