,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr,pm2.5_ug_m3,no2_ug_m3,so2_ug_m3,frp_total,frp_mean,brightness,bright_t31,tc_loss_ha,carbon_gross_emissions_yearly,vim,vim_anomaly,vim_climatology,total_population_1k,male_population_1k,female_population_1k
asthma_live_discharges,1.0,-0.14403950288179623,0.05936340706658044,-0.09018946039368451,-0.768143627179319,-0.16591108755058062,-0.07427344675859003,-0.2351511964596656,-0.013765510593338411,0.04347452695255269,0.12422153665804747,0.05498556785790571,0.05777164262453946,-0.22846074824578402,-0.22781972281511947,-0.09036382832931941,-0.15768411501462837,2.7752107449139878e-05,-0.4240613072991584,-0.41205196978599523,-0.43458775660812066
bronchitis_live_discharges,-0.14403950288179623,1.0,0.4291828164042339,0.7210091631081634,0.38896377915047925,-0.36592907231617977,0.1791211907474495,0.24469556973588127,-0.0009530830272034941,-0.04092495499286437,-0.10883859825380393,-0.040618884701281915,-0.037904685875629035,0.17180064512581542,0.18229269208844998,-0.03921857039842275,-0.06086796275708582,-0.003374194784905479,0.29081658858230747,0.2794378042870467,0.30087727695093
asthma_deaths,0.05936340706658044,0.4291828164042339,1.0,0.2533336841083898,0.0202294671083207,-0.43387339102862044,0.26713551832290133,0.079906384111566,0.04557582785772339,-0.055898618934836726,-0.008315742317602196,-0.011975637098766978,-0.00984129481592633,0.01889424460983519,-0.038639093935217986,0.11738014949225647,0.1979375661160692,0.000984974148992097,0.1159539729493681,0.10240098174269015,0.12811751444910865
bronchitis_deaths,-0.09018946039368451,0.7210091631081634,0.2533336841083898,1.0,0.13316044061244028,0.21357726124949342,0.08149882698125009,0.4542796784368278,0.03342144438509598,-0.05146460535468659,-0.16370203800744915,-0.139977088782041,-0.14010032532668587,0.10687506470259373,0.10207171656937239,0.004301240800393466,0.015858383274306744,-0.008418583484699035,0.6727582855274006,0.6741722492532407,0.6709528163808133
asthma_cfr,-0.768143627179319,0.38896377915047925,0.0202294671083207,0.13316044061244028,1.0,-0.11852740725867464,0.13700146805589686,0.04381221314264145,-0.012199222090400877,0.01602554950507924,-0.06754259312836886,-0.007758799722854023,-0.0067393138900646,0.3054112438628292,0.32502011091798694,0.00761680839015113,0.024841895403424148,-0.005553170284477024,0.03143691763632118,0.0145355934605561,0.04669416599777441
bronchitis_cfr,-0.16591108755058062,-0.36592907231617977,-0.43387339102862044,0.21357726124949342,-0.11852740725867464,1.0,-0.11398152771390017,0.2987747714957753,0.019330483904367507,-0.029687904804125753,-0.13030622717209142,-0.09005317977430868,-0.09019702465785528,-0.0721873067249976,-0.0946002362159324,0.014503347201157224,0.009383701038088617,0.007392495279469412,0.5552979469054171,0.568256584220496,0.543146000944218
pm2.5_ug_m3,-0.07427344675859003,0.1791211907474495,0.26713551832290133,0.08149882698125009,0.13700146805589686,-0.11398152771390017,1.0,-0.08208691371496399,0.21508667837622658,0.09734378215942555,0.25894436889596145,0.19224346569362835,0.1924806371000259,-0.14013787659455018,-0.1495546401563636,-0.06967158804098106,-0.06091818802890137,-0.04315876089456649,0.07937954381927156,0.07308064957566697,0.08501271083621362
no2_ug_m3,-0.2351511964596656,0.24469556973588127,0.079906384111566,0.4542796784368278,0.04381221314264145,0.2987747714957753,-0.08208691371496399,1.0,0.02282053328927139,-0.291554580618351,-0.11758994477660939,-0.18725976520795007,-0.18898283912953476,-0.051804291230147834,-0.06198157244492087,0.022823236917526253,0.1450262851908386,-0.07143254228912803,0.5767223232466379,0.5773598007367965,0.575694166398451
so2_ug_m3,-0.013765510593338411,-0.0009530830272034941,0.04557582785772339,0.03342144438509598,-0.012199222090400877,0.019330483904367507,0.21508667837622658,0.02282053328927139,1.0,0.4045185528668931,0.40912494073331823,0.4290156332426191,0.4123997760954553,0.0018259946632008662,-0.001740433962060746,-0.3624606202517125,0.21973904983607576,-0.5613823908430939,0.051896671009497755,0.05168731411836828,0.05204531577702353
frp_total,0.04347452695255269,-0.04092495499286437,-0.055898618934836726,-0.05146460535468659,0.01602554950507924,-0.029687904804125753,0.09734378215942555,-0.291554580618351,0.4045185528668931,1.0,0.3114509371110699,0.28250166856132247,0.2727735419710771,0.11284798786561086,0.11392938469877582,-0.4927642555368341,-0.2240354943579254,-0.4167656426085586,-0.1350510964148365,-0.1347210797002226,-0.13524370266670058
frp_mean,0.12422153665804747,-0.10883859825380393,-0.008315742317602196,-0.16370203800744915,-0.06754259312836886,-0.13030622717209142,0.25894436889596145,-0.11758994477660939,0.40912494073331823,0.3114509371110699,1.0,0.6923792861288933,0.6817671397966545,-0.16626197064562406,-0.16155044413499092,-0.4650809705414908,-0.0614223652688233,-0.4940822038439661,-0.17907720590904805,-0.17843323282638138,-0.1795191991058822
brightness,0.05498556785790571,-0.040618884701281915,-0.011975637098766978,-0.139977088782041,-0.007758799722854023,-0.09005317977430868,0.19224346569362835,-0.18725976520795007,0.4290156332426191,0.28250166856132247,0.6923792861288933,1.0,0.9993076361787702,-0.1713715627187895,-0.16211547923295938,-0.47889139931206953,0.032238670970333005,-0.5718489379707373,-0.09475559935174917,-0.09669898267749738,-0.09292420260806314
bright_t31,0.05777164262453946,-0.037904685875629035,-0.00984129481592633,-0.14010032532668587,-0.0067393138900646,-0.09019702465785528,0.1924806371000259,-0.18898283912953476,0.4123997760954553,0.2727735419710771,0.6817671397966545,0.9993076361787702,1.0,-0.16997113274332667,-0.160773405534921,-0.470198127204919,0.030652891447528027,-0.5608509127361315,-0.09694923860991168,-0.09895821153819295,-0.09505681859290877
tc_loss_ha,-0.22846074824578402,0.17180064512581542,0.01889424460983519,0.10687506470259373,0.3054112438628292,-0.0721873067249976,-0.14013787659455018,-0.051804291230147834,0.0018259946632008662,0.11284798786561086,-0.16626197064562406,-0.1713715627187895,-0.16997113274332667,1.0,0.9955106213345483,0.05702901434748093,0.10208377449487059,0.0016123864780724921,-0.20285529596131774,-0.20201689359812233,-0.20345446264258968
carbon_gross_emissions_yearly,-0.22781972281511947,0.18229269208844998,-0.038639093935217986,0.10207171656937239,0.32502011091798694,-0.0946002362159324,-0.1495546401563636,-0.06198157244492087,-0.001740433962060746,0.11392938469877582,-0.16155044413499092,-0.16211547923295938,-0.160773405534921,0.9955106213345483,1.0,0.046814592110231326,0.08663497098905289,0.00031494099213989876,-0.22669399627273898,-0.2256367802204322,-0.22747233690508334
vim,-0.09036382832931941,-0.03921857039842275,0.11738014949225647,0.004301240800393466,0.00761680839015113,0.014503347201157224,-0.06967158804098106,0.022823236917526253,-0.3624606202517125,-0.4927642555368341,-0.4650809705414908,-0.47889139931206953,-0.470198127204919,0.05702901434748093,0.046814592110231326,1.0,0.4953943340421052,0.8183324000083393,0.07601812404584521,0.07649687736041086,0.07552569698402395
vim_anomaly,-0.15768411501462837,-0.06086796275708582,0.1979375661160692,0.015858383274306744,0.024841895403424148,0.009383701038088617,-0.06091818802890137,0.1450262851908386,0.21973904983607576,-0.2240354943579254,-0.0614223652688233,0.032238670970333005,0.030652891447528027,0.10208377449487059,0.08663497098905289,0.4953943340421052,1.0,-0.09340954996607723,0.12370888946840286,0.12449826378142512,0.12289824709960126
vim_climatology,2.7752107449139878e-05,-0.003374194784905479,0.000984974148992097,-0.008418583484699035,-0.005553170284477024,0.007392495279469412,-0.04315876089456649,-0.07143254228912803,-0.5613823908430939,-0.4167656426085586,-0.4940822038439661,-0.5718489379707373,-0.5608509127361315,0.0016123864780724921,0.00031494099213989876,0.8183324000083393,-0.09340954996607723,1.0,0.0007086694582127526,0.0007459120398077124,0.0006744402663112675
total_population_1k,-0.4240613072991584,0.29081658858230747,0.1159539729493681,0.6727582855274006,0.03143691763632118,0.5552979469054171,0.07937954381927156,0.5767223232466379,0.051896671009497755,-0.1350510964148365,-0.17907720590904805,-0.09475559935174917,-0.09694923860991168,-0.20285529596131774,-0.22669399627273898,0.07601812404584521,0.12370888946840286,0.0007086694582127526,1.0,0.9995450262433088,0.9996280538549029
male_population_1k,-0.41205196978599523,0.2794378042870467,0.10240098174269015,0.6741722492532407,0.0145355934605561,0.568256584220496,0.07308064957566697,0.5773598007367965,0.05168731411836828,-0.1347210797002226,-0.17843323282638138,-0.09669898267749738,-0.09895821153819295,-0.20201689359812233,-0.2256367802204322,0.07649687736041086,0.12449826378142512,0.0007459120398077124,0.9995450262433088,1.0,0.9983506782959688
female_population_1k,-0.43458775660812066,0.30087727695093,0.12811751444910865,0.6709528163808133,0.04669416599777441,0.543146000944218,0.08501271083621362,0.575694166398451,0.05204531577702353,-0.13524370266670058,-0.1795191991058822,-0.09292420260806314,-0.09505681859290877,-0.20345446264258968,-0.22747233690508334,0.07552569698402395,0.12289824709960126,0.0006744402663112675,0.9996280538549029,0.9983506782959688,1.0
