year,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
2014,6148.0,413.0,3.0,3.0,0.05000000000000001,0.73
2015,4656.0,371.0,1.0,5.0,0.02,1.3500000000000003
2016,4761.0,734.0,4.0,0.0,0.08,0.0
2017,4994.0,561.0,4.0,5.0,0.08,0.89
2018,6.0,1130.0,3.0,16.0,50.0,1.42
2019,5817.0,1222.0,1.0,25.0,0.02,2.05
2020,3428.0,78.0,0.0,5.0,0.0,6.41
2021,1976.0,531.0,2.0,10.0,0.10000000000000002,1.88
2022,4339.0,718.0,5.0,23.0,0.12,3.2000000000000006
2023,4507.0,917.0,4.0,24.0,0.09000000000000001,2.62
2024,3988.0,1114.0,5.0,19.0,0.13,1.71
