month,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
January,11119.545454545454,3371.4545454545455,65.9090909090909,125.0,0.5827272727272728,3.797272727272727
February,11119.545454545454,3371.4545454545455,65.9090909090909,125.0,0.5827272727272728,3.797272727272727
March,11119.545454545454,3371.4545454545455,65.9090909090909,125.0,0.5827272727272728,3.797272727272727
April,11119.545454545454,3371.4545454545455,65.9090909090909,125.0,0.5827272727272728,3.797272727272727
May,11119.545454545454,3371.4545454545455,65.9090909090909,125.0,0.5827272727272728,3.797272727272727
June,11119.545454545454,3371.4545454545455,65.9090909090909,125.0,0.5827272727272728,3.797272727272727
July,11119.545454545454,3371.4545454545455,65.9090909090909,125.0,0.5827272727272728,3.797272727272727
August,11119.545454545454,3371.4545454545455,65.9090909090909,125.0,0.5827272727272728,3.797272727272727
September,11119.545454545454,3371.4545454545455,65.9090909090909,125.0,0.5827272727272728,3.797272727272727
October,11119.545454545454,3371.4545454545455,65.9090909090909,125.0,0.5827272727272728,3.797272727272727
November,11119.545454545454,3371.4545454545455,65.9090909090909,125.0,0.5827272727272728,3.797272727272727
December,11119.545454545454,3371.4545454545455,65.9090909090909,125.0,0.5827272727272728,3.797272727272727
