year,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
2014,10612.0,2392.0,39.0,64.0,0.36999999999999994,2.68
2015,11080.0,2049.0,78.0,85.0,0.6999999999999998,4.15
2016,9177.0,2.0,38.0,48.0,0.41,2400.0
2017,9075.0,2193.0,50.0,89.0,0.55,4.06
2018,8.0,1.0,40.0,84.0,500.0,8400.0
2019,8388.0,2002.0,74.0,82.0,0.88,4.1
2020,5043.0,1.0,32.0,50.0,0.63,5000.0
2021,3772.0,1087.0,39.0,38.0,1.03,3.5
2022,10367.0,2343.0,46.0,74.0,0.44,3.16
2023,11078.0,2487.0,47.0,71.0,0.42,2.85
2024,10829.0,2299.0,37.0,69.0,0.34,3.0
