,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr,pm2.5_ug_m3,no2_ug_m3,so2_ug_m3,frp_total,frp_mean,brightness,bright_t31,tc_loss_ha,carbon_gross_emissions_yearly,vim,vim_anomaly,vim_climatology,total_population_1k,male_population_1k,female_population_1k
asthma_live_discharges,1.0,0.49772663187200933,0.5981528246092085,0.32092595266750573,-0.6752222293295749,-0.07979455204784783,0.0059517998050906355,-0.14927531785074857,-0.010984671415008135,0.18737122220711022,0.09292515938841057,0.1397541695275492,0.14083987196144587,0.1520572877180184,0.12371089478461707,0.07333496217400463,0.10558908436033083,-0.0031026697873456455,-0.8019602183920567,-0.8043127675440418,-0.7996431502249148
bronchitis_live_discharges,0.49772663187200933,1.0,0.42803750162982823,0.34117492763574647,-0.26971422771616493,-0.7910543306963558,-0.09309803666155639,0.02063433425026049,0.05734749567209129,-0.06808357440484786,0.031153950871673903,0.002833638415366716,0.00415004830043467,-0.44036915203489,-0.4483311302780284,0.1930847899679318,0.2749503738703197,-0.0042675804805532925,-0.36467679999419217,-0.3709628936752841,-0.3586619746206271
asthma_deaths,0.5981528246092085,0.42803750162982823,1.0,0.2694747189267519,0.13787970326952978,-0.18574417440363278,0.02631904268082549,-0.08174218462452544,0.00018463998023517255,0.05786921231719712,0.03876383943019405,0.03848489265888228,0.04065495502519456,-0.04541797706163361,-0.07051056176143379,-0.039469305431906715,-0.047444712914999555,-0.0056032137499566325,-0.36571948671020255,-0.3698798709888642,-0.36172629718159865
bronchitis_deaths,0.32092595266750573,0.34117492763574647,0.2694747189267519,1.0,-0.33509174353343885,-0.03705457659403021,0.15938867245024274,0.03481165665793298,0.007190960964347744,0.01567185463437936,-0.025232319593097526,-0.12049716879608133,-0.11975712203941721,0.05125483606680098,0.04740300337091333,-0.06709882539254888,-0.08934793819999949,-0.000617696366056929,-0.024242482711788308,-0.02779793935765292,-0.02085852044195333
asthma_cfr,-0.6752222293295749,-0.26971422771616493,0.13787970326952978,-0.33509174353343885,1.0,-0.13198568722518628,-0.05295156091757286,0.07681732526272689,0.005817441089721487,-0.12246495651922411,-0.036020720163994394,-0.07877767639146467,-0.07925700553964998,-0.16225211609379506,-0.15509940289163637,-0.1143939956690417,-0.15637293905418867,-0.0014327016962480015,0.5615226448988094,0.5603396672982752,0.5625920384145913
bronchitis_cfr,-0.07979455204784783,-0.7910543306963558,-0.18574417440363278,-0.03705457659403021,-0.13198568722518628,1.0,0.17987632117635846,-0.04080286932807135,-0.044440261554194005,0.03696116907506713,-0.06804084392995502,-0.06470956388764137,-0.06559327107936383,0.24590722847455848,0.2447301879620182,-0.15683470014827805,-0.22426824357341907,0.0017961339087652932,0.1676738328939711,0.17286007313094456,0.1627246162393029
pm2.5_ug_m3,0.0059517998050906355,-0.09309803666155639,0.02631904268082549,0.15938867245024274,-0.05295156091757286,0.17987632117635846,1.0,-0.3611022173182421,0.14983468350536613,-0.15088862883037477,-0.14736809415876495,-0.15235595551855535,-0.1443089333537546,0.12311287776529704,0.12320471997124531,-0.3373935107699143,-0.23085932009665416,-0.2637494453457574,0.07904378010906994,0.07945112230311224,0.07864851727973696
no2_ug_m3,-0.14927531785074857,0.02063433425026049,-0.08174218462452544,0.03481165665793298,0.07681732526272689,-0.04080286932807135,-0.3611022173182421,1.0,0.10531740444024323,0.10537046354913114,0.11008193539417334,0.14808556271531736,0.14788540637069553,-0.10787891768997812,-0.10061325660509171,0.5051802219788339,0.284481818274845,0.4584824655861143,0.2113887331635242,0.21088316418949501,0.21184859681736068
so2_ug_m3,-0.010984671415008135,0.05734749567209129,0.00018463998023517255,0.007190960964347744,0.005817441089721487,-0.044440261554194005,0.14983468350536613,0.10531740444024323,1.0,-0.12585628849908584,0.061844488061327293,-0.08208153836333773,-0.08761434628146857,-0.066600846331706,-0.06647442550127713,-0.20099415312984406,0.03071835734809271,-0.33651908515142526,0.04103098166296279,0.04019548460729445,0.04182154212856667
frp_total,0.18737122220711022,-0.06808357440484786,0.05786921231719712,0.01567185463437936,-0.12246495651922411,0.03696116907506713,-0.15088862883037477,0.10537046354913114,-0.12585628849908584,1.0,0.6018405929484867,0.3890087781622728,0.3791781316921714,0.26887505730864153,0.2597708103089191,-0.10918523506029902,-0.0016653581754245102,-0.16402776734185373,-0.2900984734869322,-0.2892635196863919,-0.29086380059489547
