year,January,February,March,April,May,June,July,August,September,October,November,December
2014,2320.0,2320.0,2320.0,2320.0,2320.0,2320.0,2320.0,2320.0,2320.0,2320.0,2320.0,2320.0
2015,2398.0,2398.0,2398.0,2398.0,2398.0,2398.0,2398.0,2398.0,2398.0,2398.0,2398.0,2398.0
2016,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2017,2363.0,2363.0,2363.0,2363.0,2363.0,2363.0,2363.0,2363.0,2363.0,2363.0,2363.0,2363.0
2018,2460.0,2460.0,2460.0,2460.0,2460.0,2460.0,2460.0,2460.0,2460.0,2460.0,2460.0,2460.0
2019,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0
2020,1124.0,1124.0,1124.0,1124.0,1124.0,1124.0,1124.0,1124.0,1124.0,1124.0,1124.0,1124.0
2021,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0
2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023,2232.0,2232.0,2232.0,2232.0,2232.0,2232.0,2232.0,2232.0,2232.0,2232.0,2232.0,2232.0
2024,2445.0,2445.0,2445.0,2445.0,2445.0,2445.0,2445.0,2445.0,2445.0,2445.0,2445.0,2445.0
