year,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
2014,20575.0,2320.0,29.0,100.0,0.14,4.31
2015,21079.0,2398.0,27.0,14.0,0.13,0.58
2016,18159.0,2.0,20.0,91.0,0.11,4550.0
2017,19315.0,2363.0,43.0,101.0,0.22,4.27
2018,17596.0,2460.0,28.0,108.0,0.16,4.39
2019,17827.0,2195.0,21.0,102.0,0.12,4.65
2020,8135.0,1124.0,24.0,42.0,0.3,3.74
2021,4023.0,664.0,11.0,33.0,0.27,4.97
2022,11270.0,1.0,21.0,70.0,0.19000000000000003,7000.0
2023,12974.0,2232.0,28.0,128.0,0.22,5.73
2024,12850.0,2445.0,12.0,103.0,0.09000000000000001,4.21
