,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr,pm2.5_ug_m3,no2_ug_m3,so2_ug_m3,frp_total,frp_mean,brightness,bright_t31,tc_loss_ha,carbon_gross_emissions_yearly,vim,vim_anomaly,vim_climatology,total_population_1k,male_population_1k,female_population_1k
asthma_live_discharges,1.0,-0.027297275171840375,0.32251850041183605,-0.06475665483090637,-0.7337634647905942,-0.026187917152410933,-0.12839845925679566,0.2594637968445978,-0.1420333086801033,0.014594006285480106,-0.0023165033646483113,-0.04792418010807111,-0.0457854859389209,-0.044292181422651615,-0.11134512965932811,-0.08510013354987761,-0.12594511488054344,0.0002769063857410932,-0.47363340158982703,-0.47410152502206104,-0.47293114449561297
bronchitis_live_discharges,-0.027297275171840375,1.0,0.7962453372675862,0.6040077532441904,0.5339524834101282,-0.7282246166039505,-0.013159723667906544,-0.1478669760347442,-0.04784092841582132,-0.03821291180247361,-0.12428961226860691,-0.07545063194866514,-0.07143189634869213,-0.3133594541632703,-0.3255385088576506,0.01637752386666424,0.03185971920242131,-0.008236774740272915,-0.22329510494645705,-0.21016698703044148,-0.23585565539473818
asthma_deaths,0.32251850041183605,0.7962453372675862,1.0,0.35763853158559056,0.23612332298815178,-0.6571241483910452,-0.18286080382975284,0.05960461322530258,-0.1715219078070974,-0.007849506050771162,-0.12886176373920938,-0.1444813592364639,-0.1395235855300267,-0.33994201859939704,-0.4025244710875664,0.011269014168489019,0.024426355557603224,-0.006783488214090656,-0.4272417974299567,-0.42151755640307603,-0.432544325308885
bronchitis_deaths,-0.06475665483090637,0.6040077532441904,0.35763853158559056,1.0,0.32603445855872615,-0.05314393101788723,0.05789503284563882,-0.14996633723243358,0.038552895850546644,-0.15565967243380216,-0.11085529480634869,0.018948627020143154,0.0235974390914106,-0.15803153059850936,-0.08250959348725118,0.13198385026745826,0.19815643862306442,-0.006390377568839172,0.23802964460413648,0.24525607756595452,0.2309249865348878
asthma_cfr,-0.7337634647905942,0.5339524834101282,0.23612332298815178,0.32603445855872615,1.0,-0.2148272922102187,0.11309912640963757,-0.06056286759480026,0.10685371196304966,0.03083530368116499,-0.04119553682906548,0.01984858202035365,0.019571791281267417,0.15575372696405704,0.16625225767376808,0.029986338808116162,0.04802753451840024,-0.0029838672896548594,-0.02097933872900615,-0.016058912092625457,-0.025720164218638406
bronchitis_cfr,-0.026187917152410933,-0.7282246166039505,-0.6571241483910452,-0.05314393101788723,-0.2148272922102187,1.0,0.10651041475851901,0.2310559306874384,0.09626566564030306,-0.00985595103219865,0.09079493365200852,0.1444490804194933,0.1434129606311756,0.6356688428147009,0.6694627793746059,0.008183575084477533,0.0056345668419717256,0.005890809044820458,0.14443266274394367,0.13056329851088755,0.15775072652100025
pm2.5_ug_m3,-0.12839845925679566,-0.013159723667906544,-0.18286080382975284,0.05789503284563882,0.11309912640963757,0.10651041475851901,1.0,-0.4006613378804182,0.39048592046842157,0.19910960451339382,0.3336650065409554,0.35891862042344164,0.35655950107475715,0.21527171543128637,0.241926615525455,-0.15781608828045368,0.020818727555016795,-0.22862216873080835,0.07915462360099529,0.08086159917958785,0.07746430203728885
no2_ug_m3,0.2594637968445978,-0.1478669760347442,0.05960461322530258,-0.14996633723243358,-0.06056286759480026,0.2310559306874384,-0.4006613378804182,1.0,-0.24961931600574766,-0.1602833121871798,-0.2232154360362297,-0.07089275678043845,-0.06331307456671566,0.2504541786381366,0.18942197761328702,0.20933264175402935,-0.07892129282735223,0.34696525806746814,-0.45203275680551014,-0.4570263138414569,-0.44697146726571924
so2_ug_m3,-0.1420333086801033,-0.04784092841582132,-0.1715219078070974,0.038552895850546644,0.10685371196304966,0.09626566564030306,0.39048592046842157,-0.24961931600574766,1.0,0.31162619754667487,0.5092936755808802,0.09825315045374958,0.07688805658223438,0.1400770179395739,0.16450272785284084,-0.3827902663953143,0.017524713195534277,-0.5235795272128714,0.06706711632473439,0.06836595940027702,0.06577733354585555
frp_total,0.014594006285480106,-0.03821291180247361,-0.007849506050771162,-0.15565967243380216,0.03083530368116499,-0.00985595103219865,0.19910960451339382,-0.1602833121871798,0.31162619754667487,1.0,0.6283173957210952,0.1448378391337498,0.12265338488892885,0.1376700305489657,0.11822686118858183,-0.4958888278171877,-0.2663793133969849,-0.4131102870219755,-0.14864484199209735,-0.14775018281594962,-0.14943034779787712
