year,January,February,March,April,May,June,July,August,September,October,November,December
2014,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0
2015,12307.0,12307.0,12307.0,12307.0,12307.0,12307.0,12307.0,12307.0,12307.0,12307.0,12307.0,12307.0
2016,10571.0,10571.0,10571.0,10571.0,10571.0,10571.0,10571.0,10571.0,10571.0,10571.0,10571.0,10571.0
2017,11032.0,11032.0,11032.0,11032.0,11032.0,11032.0,11032.0,11032.0,11032.0,11032.0,11032.0,11032.0
2018,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
2019,10669.0,10669.0,10669.0,10669.0,10669.0,10669.0,10669.0,10669.0,10669.0,10669.0,10669.0,10669.0
2020,6089.0,6089.0,6089.0,6089.0,6089.0,6089.0,6089.0,6089.0,6089.0,6089.0,6089.0,6089.0
2021,3626.0,3626.0,3626.0,3626.0,3626.0,3626.0,3626.0,3626.0,3626.0,3626.0,3626.0,3626.0
2022,7947.0,7947.0,7947.0,7947.0,7947.0,7947.0,7947.0,7947.0,7947.0,7947.0,7947.0,7947.0
2023,9031.0,9031.0,9031.0,9031.0,9031.0,9031.0,9031.0,9031.0,9031.0,9031.0,9031.0,9031.0
2024,8511.0,8511.0,8511.0,8511.0,8511.0,8511.0,8511.0,8511.0,8511.0,8511.0,8511.0,8511.0
