year,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
2014,11347.0,853.0,30.0,7.0,0.26,0.82
2015,12307.0,1100.0,44.0,27.0,0.36000000000000004,2.45
2016,10571.0,209.0,11.0,16.0,0.10000000000000002,7.66
2017,11032.0,1319.0,32.0,28.0,0.29,2.12
2018,11.0,1493.0,34.0,29.0,309.09,1.9400000000000002
2019,10669.0,1168.0,34.0,26.0,0.32,2.23
2020,6089.0,535.0,14.0,14.0,0.23,2.62
2021,3626.0,294.0,3.0,14.0,0.08,4.76
2022,7947.0,666.0,7.0,31.0,0.09000000000000001,4.65
2023,9031.0,832.0,38.0,24.0,0.42,2.8800000000000003
2024,8511.0,752.0,19.0,19.0,0.22,2.53
