year,January,February,March,April,May,June,July,August,September,October,November,December
2014,9127.0,9127.0,9127.0,9127.0,9127.0,9127.0,9127.0,9127.0,9127.0,9127.0,9127.0,9127.0
2015,8217.0,8217.0,8217.0,8217.0,8217.0,8217.0,8217.0,8217.0,8217.0,8217.0,8217.0,8217.0
2016,7211.0,7211.0,7211.0,7211.0,7211.0,7211.0,7211.0,7211.0,7211.0,7211.0,7211.0,7211.0
2017,8686.0,8686.0,8686.0,8686.0,8686.0,8686.0,8686.0,8686.0,8686.0,8686.0,8686.0,8686.0
2018,9243.0,9243.0,9243.0,9243.0,9243.0,9243.0,9243.0,9243.0,9243.0,9243.0,9243.0,9243.0
2019,8762.0,8762.0,8762.0,8762.0,8762.0,8762.0,8762.0,8762.0,8762.0,8762.0,8762.0,8762.0
2020,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0
2021,4342.0,4342.0,4342.0,4342.0,4342.0,4342.0,4342.0,4342.0,4342.0,4342.0,4342.0,4342.0
2022,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
2023,8097.0,8097.0,8097.0,8097.0,8097.0,8097.0,8097.0,8097.0,8097.0,8097.0,8097.0,8097.0
2024,8399.0,8399.0,8399.0,8399.0,8399.0,8399.0,8399.0,8399.0,8399.0,8399.0,8399.0,8399.0
