year,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
2014,9127.0,61.0,19.0,37.0,0.21,60.66
2015,8217.0,800.0,18.0,53.0,0.22,6.62
2016,7211.0,980.0,1.0,24.0,0.01,2.45
2017,8686.0,901.0,12.0,35.0,0.14,3.8800000000000003
2018,9243.0,720.0,15.0,33.0,0.16,4.58
2019,8762.0,1038.0,10.0,30.0,0.11,2.89
2020,5200.0,488.0,7.0,20.0,0.13,4.1
2021,4342.0,450.0,2.0,26.0,0.05000000000000001,5.78
2022,8.0,944.0,9.0,30.0,112.5,3.18
2023,8097.0,1143.0,3.0,41.0,0.04,3.59
2024,8399.0,1109.0,10.0,25.0,0.12,2.25
