,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr,pm2.5_ug_m3,no2_ug_m3,so2_ug_m3,frp_total,frp_mean,brightness,bright_t31,tc_loss_ha,carbon_gross_emissions_yearly,vim,vim_anomaly,vim_climatology,total_population_1k,male_population_1k,female_population_1k
asthma_live_discharges,1.0,0.17308531788556913,0.5228866003300918,0.4500213828354408,-0.7283461074431966,0.18608938056747576,-0.1358288168334175,-0.10299783234281598,-0.12389782711645848,-0.04425056391772298,0.05500393490665949,0.018879368110978272,0.019084239277619663,-0.44447841106177216,-0.4679345719908185,0.02885410807112784,0.041043258108342195,-3.1474302485543216e-05,-0.5705063275525892,-0.5774177076823743,-0.5638667487159447
bronchitis_live_discharges,0.17308531788556913,1.0,0.15175896705210343,0.6176554752378398,0.1993618462838003,-0.7471840870071991,-0.08786041507351802,0.014608915171309491,-0.020506818918200345,0.010187184038152289,-0.012423094821363896,-0.02445765813145039,-0.022969497229251408,-0.2943974399171914,-0.309665925091121,0.021316707850250687,0.03068846806823803,0.00031658419635077035,-0.2756216775871854,-0.2720437933475196,-0.2788421117476788
asthma_deaths,0.5228866003300918,0.15175896705210343,1.0,0.47873545285657804,-0.10667489334254675,0.3197616535098274,0.04342224860376146,-0.12675185444587012,-0.04802159340427347,0.006137257511144658,0.15794848362720662,0.053274786054580775,0.05311579821719114,0.07550039460673709,-0.001148974403321119,0.02373512661973068,0.035461082376992005,0.00010254503159747603,-0.42434928713807024,-0.42529483828844034,-0.4233094624229182
bronchitis_deaths,0.4500213828354408,0.6176554752378398,0.47873545285657804,1.0,0.10762824210627901,-0.24355018588850585,-0.10378125033223716,-0.00224606953080269,-0.03265985998905461,-0.1487570168206374,-0.06292543382954419,-0.1455344343757035,-0.14751310321298647,-0.5191575952780338,-0.523464449529129,0.014066685759551495,0.019859342845208777,0.00015000825952697077,-0.43392184804450773,-0.4285218724852464,-0.4387755280932601
asthma_cfr,-0.7283461074431966,0.1993618462838003,-0.10667489334254675,0.10762824210627901,1.0,-0.09943349841296482,0.17427957472492603,0.04606076335082011,0.15081426796074593,-0.009040755927491175,-0.05980478022143074,-0.03009257973530552,-0.03070875502071784,0.1746831372307498,0.14688881814560256,-0.006082029264518432,-0.008208273970432008,0.00010464734396750995,0.1305210027034409,0.13733007945572354,0.1241435220773523
bronchitis_cfr,0.18608938056747576,-0.7471840870071991,0.3197616535098274,-0.24355018588850585,-0.09943349841296482,1.0,0.07626066292170121,-0.1087691352275541,0.005898019617618341,-0.03243748495611054,0.042906261788259355,0.08634622716835225,0.08542253850515356,0.15172621611993023,0.09796250130600251,0.03977200412686023,0.058555448626905815,-0.00027846806975122333,-0.22413292479644414,-0.23074251914182262,-0.21790529450772805
pm2.5_ug_m3,-0.1358288168334175,-0.08786041507351802,0.04342224860376146,-0.10378125033223716,0.17427957472492603,0.07626066292170121,1.0,-0.35245109537422736,-0.07134440437747674,-0.010574177478457946,0.006235360983204725,-0.025952531381734225,-0.027804776640923363,0.17776468950888238,0.16717497979742343,-0.32965920480115757,-0.20489176907779946,-0.31764367464069393,0.0948714605871674,0.09311336302167236,0.09646931296558932
no2_ug_m3,-0.10299783234281598,0.014608915171309491,-0.12675185444587012,-0.00224606953080269,0.04606076335082011,-0.1087691352275541,-0.35245109537422736,1.0,0.7990757887250434,0.24252311145329308,0.12485020331179442,0.3381421991148264,0.34277818440959446,0.06304895729051294,0.08533069859862616,0.6828106716415286,0.31669487272854224,0.7801387502647856,0.1836748351864706,0.18420947356799383,0.1831082502521002
so2_ug_m3,-0.12389782711645848,-0.020506818918200345,-0.04802159340427347,-0.03265985998905461,0.15081426796074593,0.005898019617618341,-0.07134440437747674,0.7990757887250434,1.0,0.2966219668027069,0.16278400430467507,0.3345995006727903,0.3371630723402865,0.03122410625364828,0.02894188570053625,0.5632788658502575,0.25921717256117577,0.6459713419838192,0.046997431343316215,0.04757938954178734,0.046438754719927644
frp_total,-0.04425056391772298,0.010187184038152289,0.006137257511144658,-0.1487570168206374,-0.009040755927491175,-0.03243748495611054,-0.010574177478457946,0.24252311145329308,0.2966219668027069,1.0,0.6506356054312191,0.6097995430443995,0.6083524392044865,0.06271942380924521,0.04519477107762578,0.07948830440984442,0.08241981021546835,0.03909883065396774,-0.004693127479589816,-0.002864717213020934,-0.006390556914145721
frp_mean,0.05500393490665949,-0.012423094821363896,0.15794848362720662,-0.06292543382954419,-0.05980478022143074,0.042906261788259355,0.006235360983204725,0.12485020331179442,0.16278400430467507,0.6506356054312191,1.0,0.670080719619476,0.6616682927335937,0.10664067287356845,0.08706631860790216,0.0007183570413413375,0.0486203376646158,-0.05387570778404248,-0.012570202566227373,-0.012225996824876741,-0.012885314213252437
brightness,0.018879368110978272,-0.02445765813145039,0.053274786054580775,-0.1455344343757035,-0.03009257973530552,0.08634622716835225,-0.025952531381734225,0.3381421991148264,0.3345995006727903,0.6097995430443995,0.670080719619476,1.0,0.999603185055659,0.10973176238519498,0.0847281380083218,0.1438456903770716,0.11350176540538617,0.11177322291999411,-0.01817688251203073,-0.019134977656551245,-0.017279588191977904
bright_t31,0.019084239277619663,-0.022969497229251408,0.05311579821719114,-0.14751310321298647,-0.03070875502071784,0.08542253850515356,-0.027804776640923363,0.34277818440959446,0.3371630723402865,0.6083524392044865,0.6616682927335937,0.999603185055659,1.0,0.11443856255830874,0.08937160435562928,0.14789844221088455,0.11382464527962595,0.11820012665125917,-0.016072257639008027,-0.017134138957927852,-0.015079309832304029
tc_loss_ha,-0.44447841106177216,-0.2943974399171914,0.07550039460673709,-0.5191575952780338,0.1746831372307498,0.15172621611993023,0.17776468950888238,0.06304895729051294,0.03122410625364828,0.06271942380924521,0.10664067287356845,0.10973176238519498,0.11443856255830874,1.0,0.9921863646516769,-0.011150112097185498,-0.015287696354211582,-2.8370378585517134e-05,0.5590521822193218,0.5527704451544602,0.5646778156731451
carbon_gross_emissions_yearly,-0.4679345719908185,-0.309665925091121,-0.001148974403321119,-0.523464449529129,0.14688881814560256,0.09796250130600251,0.16717497979742343,0.08533069859862616,0.02894188570053625,0.04519477107762578,0.08706631860790216,0.0847281380083218,0.08937160435562928,0.9921863646516769,1.0,-0.020862817519943566,-0.0296179760451492,-3.1652243948594826e-05,0.6311885926049461,0.6250681578478217,0.6366369378445677
vim,0.02885410807112784,0.021316707850250687,0.02373512661973068,0.014066685759551495,-0.006082029264518432,0.03977200412686023,-0.32965920480115757,0.6828106716415286,0.5632788658502575,0.07948830440984442,0.0007183570413413375,0.1438456903770716,0.14789844221088455,-0.011150112097185498,-0.020862817519943566,1.0,0.8126088884135443,0.7373223882809047,-0.139817238212359,-0.1398825397061679,-0.1397034747266689
