month,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
January,7009.090909090909,1556.0,17.545454545454547,36.72727272727273,16.11090909090909,247.45818181818183
February,7009.090909090909,1556.0,17.545454545454547,36.72727272727273,16.11090909090909,247.45818181818183
March,7009.090909090909,1556.0,17.545454545454547,36.72727272727273,16.11090909090909,247.45818181818183
April,7009.090909090909,1556.0,17.545454545454547,36.72727272727273,16.11090909090909,247.45818181818183
May,7009.090909090909,1556.0,17.545454545454547,36.72727272727273,16.11090909090909,247.45818181818183
June,7009.090909090909,1556.0,17.545454545454547,36.72727272727273,16.11090909090909,247.45818181818183
July,7009.090909090909,1556.0,17.545454545454547,36.72727272727273,16.11090909090909,247.45818181818183
August,7009.090909090909,1556.0,17.545454545454547,36.72727272727273,16.11090909090909,247.45818181818183
September,7009.090909090909,1556.0,17.545454545454547,36.72727272727273,16.11090909090909,247.45818181818183
October,7009.090909090909,1556.0,17.545454545454547,36.72727272727273,16.11090909090909,247.45818181818183
November,7009.090909090909,1556.0,17.545454545454547,36.72727272727273,16.11090909090909,247.45818181818183
December,7009.090909090909,1556.0,17.545454545454547,36.72727272727273,16.11090909090909,247.45818181818183
