year,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
2014,9325.0,2194.0,18.0,34.0,0.19000000000000003,1.55
2015,9700.0,2168.0,26.0,55.0,0.27,2.54
2016,8795.0,1.0,28.0,27.0,0.32,2700.0
2017,9075.0,1975.0,42.0,48.0,0.46,2.43
2018,8.0,1971.0,14.0,41.0,175.0,2.08
2019,8241.0,2171.0,16.0,33.0,0.19000000000000003,1.5200000000000002
2020,4696.0,1172.0,6.0,21.0,0.13,1.79
2021,2486.0,744.0,5.0,14.0,0.20000000000000004,1.88
2022,7737.0,1437.0,14.0,32.0,0.18000000000000002,2.23
2023,8632.0,1681.0,15.0,54.0,0.17,3.2099999999999995
2024,8405.0,1602.0,9.0,45.0,0.11,2.81
