,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr,pm2.5_ug_m3,no2_ug_m3,so2_ug_m3,frp_total,frp_mean,brightness,bright_t31,tc_loss_ha,carbon_gross_emissions_yearly,vim,vim_anomaly,vim_climatology,total_population_1k,male_population_1k,female_population_1k
asthma_live_discharges,1.0,0.45786039147810215,0.7357221241730451,0.6445822733327076,-0.015484783639204405,0.17359969718880747,0.028739431987401004,-0.2182574675961508,-0.026687135893062208,-0.001582467656613517,-0.006349391900947607,-0.008601259422084685,-0.008774167055952872,-0.08130886374083995,-0.0785469067556796,-0.0705493044983498,-0.08250213806586529,-0.0005260539673383266,-0.7731982364029316,-0.7743041686576801,-0.7719582053712412
bronchitis_live_discharges,0.45786039147810215,1.0,0.10639035548908313,0.6794996346630291,-0.3099830511791696,-0.7655726211809158,-0.03030322412324763,0.05580195210671533,0.003360563936635859,-0.13080126825878416,-0.07395393198446112,-0.12087274800770241,-0.12037155932611944,-0.44563888037830446,-0.4467702924680165,0.011597623418612937,0.02029749521309986,-0.00638558676349457,-0.11973625265352157,-0.12359135877135477,-0.11615185977738278
asthma_deaths,0.7357221241730451,0.10639035548908313,1.0,0.3775744432793618,0.6430397459501508,0.3259521720411049,0.036545323944422704,-0.336996443871522,-0.02406141835885392,0.006867687824983373,0.06060092890900583,0.06342776912442179,0.062318248832063154,-0.10274282574534195,-0.060605364001317684,-0.08693662694373375,-0.10230143906437776,-0.0030372643509604808,-0.900539689293721,-0.8971970251892113,-0.9033597679041581
bronchitis_deaths,0.6445822733327076,0.6794996346630291,0.3775744432793618,1.0,-0.16262982795383615,-0.19253800897276688,0.10723396589507077,-0.022294778326246545,0.014120205407883266,-0.07915079384047434,0.03472911833395502,-0.031250627433729784,-0.033404913048046596,-0.05370785016255417,-0.03645509013304468,-0.09063853523764279,-0.10579007895451897,-0.0056056523185673765,-0.2216498367539078,-0.21908623644563832,-0.22394706886356797
asthma_cfr,-0.015484783639204405,-0.3099830511791696,0.6430397459501508,-0.16262982795383615,1.0,0.2647471932954567,0.035092949202626775,-0.23079340489883907,-0.011415337009872078,-0.006677927267774207,0.06894907701373486,0.08614047078679897,0.08559881041269024,-0.13024234398801604,-0.06155107889641683,-0.034692945297153256,-0.039402561306638134,-0.004638176882078589,-0.44082584399680796,-0.434600782759597,-0.44643201098231705
bronchitis_cfr,0.17359969718880747,-0.7655726211809158,0.3259521720411049,-0.19253800897276688,0.2647471932954567,1.0,0.07909140590450077,-0.16331722824487707,-0.01962418701467609,0.13805569992030067,0.06727760408741539,0.13489052885967265,0.13454539330413764,0.4876519126299419,0.49042506381943246,-0.06325950452177609,-0.08145773209009266,0.0065344699272992576,-0.29474542915893787,-0.28973370622962397,-0.29927612946127324
pm2.5_ug_m3,0.028739431987401004,-0.03030322412324763,0.036545323944422704,0.10723396589507077,0.035092949202626775,0.07909140590450077,1.0,-0.26110462501162496,0.32939585850149405,0.10094531325965925,0.21394299600696895,0.34408694189837347,0.3424381581967071,-0.01145582932713471,-0.00522685840890414,-0.30215178677471966,-0.09495478212569308,-0.36112201861948096,0.06656424659937683,0.06490600216690205,0.06807220667611512
no2_ug_m3,-0.2182574675961508,0.05580195210671533,-0.336996443871522,-0.022294778326246545,-0.23079340489883907,-0.16331722824487707,-0.26110462501162496,1.0,-0.5351850646963251,-0.09462537369207837,-0.23488022051864504,-0.3178040506826523,-0.3163162844112587,-0.03330384190712907,-0.04407787661039829,0.319652686259456,0.039434639974231446,0.46529280767048836,0.35155546517911423,0.3508662944673393,0.3520893477206965
so2_ug_m3,-0.026687135893062208,0.003360563936635859,-0.02406141835885392,0.014120205407883266,-0.011415337009872078,-0.01962418701467609,0.32939585850149405,-0.5351850646963251,1.0,-0.010724877744595396,0.20454740539155072,0.15588536499193892,0.14402288421983322,-0.004429132704176153,-0.0029900802769926536,-0.5048097152744119,-0.05649424635864727,-0.7347779407483033,0.03295795786860395,0.0330873793950055,0.032829330668027505
frp_total,-0.001582467656613517,-0.13080126825878416,0.006867687824983373,-0.07915079384047434,-0.006677927267774207,0.13805569992030067,0.10094531325965925,-0.09462537369207837,-0.010724877744595396,1.0,0.5228569379308768,0.3745799719713163,0.37796530363381026,0.13139139521393742,0.1213147033904811,-0.24613219007030115,-0.050972994243615705,-0.3329645630500833,-0.002922945833967681,-0.004104277411018233,-0.0018342479281839932
frp_mean,-0.006349391900947607,-0.07395393198446112,0.06060092890900583,0.03472911833395502,0.06894907701373486,0.06727760408741539,0.21394299600696895,-0.23488022051864504,0.20454740539155072,0.5228569379308768,1.0,0.7328965019574826,0.7197121179741708,0.12812055502235373,0.1344608525609259,-0.20683522254173448,0.07380690291807745,-0.43587127270923554,-0.015931630572256585,-0.01587648972502931,-0.01597784234510163
brightness,-0.008601259422084685,-0.12087274800770241,0.06342776912442179,-0.031250627433729784,0.08614047078679897,0.13489052885967265,0.34408694189837347,-0.3178040506826523,0.15588536499193892,0.3745799719713163,0.7328965019574826,1.0,0.999187202991854,0.10337514735062821,0.1044592985909714,-0.2039190941961422,0.061898376332048664,-0.41801876705424046,-0.04317826931031847,-0.04188373546311797,-0.04435799954807875
bright_t31,-0.008774167055952872,-0.12037155932611944,0.062318248832063154,-0.033404913048046596,0.08559881041269024,0.13454539330413764,0.3424381581967071,-0.3163162844112587,0.14402288421983322,0.37796530363381026,0.7197121179741708,0.999187202991854,1.0,0.09827027148170585,0.09917163712890298,-0.19672375539808853,0.06445500654845193,-0.4098787825132189,-0.04172818904737366,-0.04045539447453381,-0.04288831570781714
tc_loss_ha,-0.08130886374083995,-0.44563888037830446,-0.10274282574534195,-0.05370785016255417,-0.13024234398801604,0.4876519126299419,-0.01145582932713471,-0.03330384190712907,-0.004429132704176153,0.13139139521393742,0.12812055502235373,0.10337514735062821,0.09827027148170585,1.0,0.9954186867584458,-0.09022777447434621,-0.11594613663517567,0.0054872805423565535,-0.0021284656248574583,-0.004350368358906634,-8.175817978765456e-05
carbon_gross_emissions_yearly,-0.0785469067556796,-0.4467702924680165,-0.060605364001317684,-0.03645509013304468,-0.06155107889641683,0.49042506381943246,-0.00522685840890414,-0.04407787661039829,-0.0029900802769926536,0.1213147033904811,0.1344608525609259,0.1044592985909714,0.09917163712890298,0.9954186867584458,1.0,-0.09250527393947502,-0.11838843082103755,0.005003450364255596,-0.026227600687095447,-0.027987764943044377,-0.024599190241026792
vim,-0.0705493044983498,0.011597623418612937,-0.08693662694373375,-0.09063853523764279,-0.034692945297153256,-0.06325950452177609,-0.30215178677471966,0.319652686259456,-0.5048097152744119,-0.24613219007030115,-0.20683522254173448,-0.2039190941961422,-0.19672375539808853,-0.09022777447434621,-0.09250527393947502,1.0,0.7828343186605144,0.5582414559935621,0.04931656628839511,0.04972810599206349,0.048923454666961734
vim_anomaly,-0.08250213806586529,0.02029749521309986,-0.10230143906437776,-0.10579007895451897,-0.039402561306638134,-0.08145773209009266,-0.09495478212569308,0.039434639974231446,-0.05649424635864727,-0.050972994243615705,0.07380690291807745,0.061898376332048664,0.06445500654845193,-0.11594613663517567,-0.11838843082103755,0.7828343186605144,1.0,-0.07854145032376263,0.05919534862190486,0.05969241446325198,0.058720646681566804
vim_climatology,-0.0005260539673383266,-0.00638558676349457,-0.0030372643509604808,-0.0056056523185673765,-0.004638176882078589,0.0065344699272992576,-0.36112201861948096,0.46529280767048836,-0.7347779407483033,-0.3329645630500833,-0.43587127270923554,-0.41801876705424046,-0.4098787825132189,0.0054872805423565535,0.005003450364255596,0.5582414559935621,-0.07854145032376263,1.0,3.0712720434795994e-05,-6.405478852423139e-05,0.00011797306423377398
total_population_1k,-0.7731982364029316,-0.11973625265352157,-0.900539689293721,-0.2216498367539078,-0.44082584399680796,-0.29474542915893787,0.06656424659937683,0.35155546517911423,0.03295795786860395,-0.002922945833967681,-0.015931630572256585,-0.04317826931031847,-0.04172818904737366,-0.0021284656248574583,-0.026227600687095447,0.04931656628839511,0.05919534862190486,3.0712720434795994e-05,1.0,0.9998379723019418,0.9998626000930018
male_population_1k,-0.7743041686576801,-0.12359135877135477,-0.8971970251892113,-0.21908623644563832,-0.434600782759597,-0.28973370622962397,0.06490600216690205,0.3508662944673393,0.0330873793950055,-0.004104277411018233,-0.01587648972502931,-0.04188373546311797,-0.04045539447453381,-0.004350368358906634,-0.027987764943044377,0.04972810599206349,0.05969241446325198,-6.405478852423139e-05,0.9998379723019418,1.0,0.9994022039220791
female_population_1k,-0.7719582053712412,-0.11615185977738278,-0.9033597679041581,-0.22394706886356797,-0.44643201098231705,-0.29927612946127324,0.06807220667611512,0.3520893477206965,0.032829330668027505,-0.0018342479281839932,-0.01597784234510163,-0.04435799954807875,-0.04288831570781714,-8.175817978765456e-05,-0.024599190241026792,0.048923454666961734,0.058720646681566804,0.00011797306423377398,0.9998626000930018,0.9994022039220791,1.0
