year,January,February,March,April,May,June,July,August,September,October,November,December
2014,11425.0,11425.0,11425.0,11425.0,11425.0,11425.0,11425.0,11425.0,11425.0,11425.0,11425.0,11425.0
2015,10741.0,10741.0,10741.0,10741.0,10741.0,10741.0,10741.0,10741.0,10741.0,10741.0,10741.0,10741.0
2016,9956.0,9956.0,9956.0,9956.0,9956.0,9956.0,9956.0,9956.0,9956.0,9956.0,9956.0,9956.0
2017,9417.0,9417.0,9417.0,9417.0,9417.0,9417.0,9417.0,9417.0,9417.0,9417.0,9417.0,9417.0
2018,9800.0,9800.0,9800.0,9800.0,9800.0,9800.0,9800.0,9800.0,9800.0,9800.0,9800.0,9800.0
2019,9851.0,9851.0,9851.0,9851.0,9851.0,9851.0,9851.0,9851.0,9851.0,9851.0,9851.0,9851.0
2020,6095.0,6095.0,6095.0,6095.0,6095.0,6095.0,6095.0,6095.0,6095.0,6095.0,6095.0,6095.0
2021,3291.0,3291.0,3291.0,3291.0,3291.0,3291.0,3291.0,3291.0,3291.0,3291.0,3291.0,3291.0
2022,7340.0,7340.0,7340.0,7340.0,7340.0,7340.0,7340.0,7340.0,7340.0,7340.0,7340.0,7340.0
2023,8385.0,8385.0,8385.0,8385.0,8385.0,8385.0,8385.0,8385.0,8385.0,8385.0,8385.0,8385.0
2024,9666.0,9666.0,9666.0,9666.0,9666.0,9666.0,9666.0,9666.0,9666.0,9666.0,9666.0,9666.0
