year,January,February,March,April,May,June,July,August,September,October,November,December
2014,6006.0,6006.0,6006.0,6006.0,6006.0,6006.0,6006.0,6006.0,6006.0,6006.0,6006.0,6006.0
2015,5976.0,5976.0,5976.0,5976.0,5976.0,5976.0,5976.0,5976.0,5976.0,5976.0,5976.0,5976.0
2016,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2017,6382.0,6382.0,6382.0,6382.0,6382.0,6382.0,6382.0,6382.0,6382.0,6382.0,6382.0,6382.0
2018,6486.0,6486.0,6486.0,6486.0,6486.0,6486.0,6486.0,6486.0,6486.0,6486.0,6486.0,6486.0
2019,6401.0,6401.0,6401.0,6401.0,6401.0,6401.0,6401.0,6401.0,6401.0,6401.0,6401.0,6401.0
2020,3692.0,3692.0,3692.0,3692.0,3692.0,3692.0,3692.0,3692.0,3692.0,3692.0,3692.0,3692.0
2021,2252.0,2252.0,2252.0,2252.0,2252.0,2252.0,2252.0,2252.0,2252.0,2252.0,2252.0,2252.0
2022,4326.0,4326.0,4326.0,4326.0,4326.0,4326.0,4326.0,4326.0,4326.0,4326.0,4326.0,4326.0
2023,5824.0,5824.0,5824.0,5824.0,5824.0,5824.0,5824.0,5824.0,5824.0,5824.0,5824.0,5824.0
2024,5885.0,5885.0,5885.0,5885.0,5885.0,5885.0,5885.0,5885.0,5885.0,5885.0,5885.0,5885.0
