month,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
January,8724.272727272728,4839.545454545455,38.09090909090909,154.27272727272728,0.4372727272727273,244.54999999999998
February,8724.272727272728,4839.545454545455,38.09090909090909,154.27272727272728,0.4372727272727273,244.54999999999998
March,8724.272727272728,4839.545454545455,38.09090909090909,154.27272727272728,0.4372727272727273,244.54999999999998
April,8724.272727272728,4839.545454545455,38.09090909090909,154.27272727272728,0.4372727272727273,244.54999999999998
May,8724.272727272728,4839.545454545455,38.09090909090909,154.27272727272728,0.4372727272727273,244.54999999999998
June,8724.272727272728,4839.545454545455,38.09090909090909,154.27272727272728,0.4372727272727273,244.54999999999998
July,8724.272727272728,4839.545454545455,38.09090909090909,154.27272727272728,0.4372727272727273,244.54999999999998
August,8724.272727272728,4839.545454545455,38.09090909090909,154.27272727272728,0.4372727272727273,244.54999999999998
September,8724.272727272728,4839.545454545455,38.09090909090909,154.27272727272728,0.4372727272727273,244.54999999999998
October,8724.272727272728,4839.545454545455,38.09090909090909,154.27272727272728,0.4372727272727273,244.54999999999998
November,8724.272727272728,4839.545454545455,38.09090909090909,154.27272727272728,0.4372727272727273,244.54999999999998
December,8724.272727272728,4839.545454545455,38.09090909090909,154.27272727272728,0.4372727272727273,244.54999999999998
