year,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
2014,11425.0,6006.0,67.0,162.0,0.59,2.7000000000000006
2015,10741.0,5976.0,55.0,152.0,0.51,2.54
2016,9956.0,5.0,55.0,133.0,0.55,2660.0
2017,9417.0,6382.0,54.0,210.0,0.57,3.2900000000000005
2018,9800.0,6486.0,37.0,178.0,0.38000000000000006,2.74
2019,9851.0,6401.0,39.0,169.0,0.4000000000000001,2.64
2020,6095.0,3692.0,17.0,106.0,0.28,2.8699999999999997
2021,3291.0,2252.0,21.0,82.0,0.64,3.64
2022,7340.0,4326.0,28.0,167.0,0.38000000000000006,3.86
2023,8385.0,5824.0,23.0,190.0,0.27,3.26
2024,9666.0,5885.0,23.0,148.0,0.24,2.51
