year,January,February,March,April,May,June,July,August,September,October,November,December
2014,6300.0,6300.0,6300.0,6300.0,6300.0,6300.0,6300.0,6300.0,6300.0,6300.0,6300.0,6300.0
2015,6272.0,6272.0,6272.0,6272.0,6272.0,6272.0,6272.0,6272.0,6272.0,6272.0,6272.0,6272.0
2016,5926.0,5926.0,5926.0,5926.0,5926.0,5926.0,5926.0,5926.0,5926.0,5926.0,5926.0,5926.0
2017,5612.0,5612.0,5612.0,5612.0,5612.0,5612.0,5612.0,5612.0,5612.0,5612.0,5612.0,5612.0
2018,5454.0,5454.0,5454.0,5454.0,5454.0,5454.0,5454.0,5454.0,5454.0,5454.0,5454.0,5454.0
2019,5713.0,5713.0,5713.0,5713.0,5713.0,5713.0,5713.0,5713.0,5713.0,5713.0,5713.0,5713.0
2020,3073.0,3073.0,3073.0,3073.0,3073.0,3073.0,3073.0,3073.0,3073.0,3073.0,3073.0,3073.0
2021,1733.0,1733.0,1733.0,1733.0,1733.0,1733.0,1733.0,1733.0,1733.0,1733.0,1733.0,1733.0
2022,3855.0,3855.0,3855.0,3855.0,3855.0,3855.0,3855.0,3855.0,3855.0,3855.0,3855.0,3855.0
2023,4472.0,4472.0,4472.0,4472.0,4472.0,4472.0,4472.0,4472.0,4472.0,4472.0,4472.0,4472.0
2024,5147.0,5147.0,5147.0,5147.0,5147.0,5147.0,5147.0,5147.0,5147.0,5147.0,5147.0,5147.0
