year,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
2014,6300.0,1665.0,21.0,44.0,0.33,2.64
2015,6272.0,2269.0,30.0,55.0,0.48,2.42
2016,5926.0,2085.0,31.0,42.0,0.52,2.01
2017,5612.0,2157.0,49.0,66.0,0.87,3.06
2018,5454.0,2.0,60.0,78.0,1.1,3900.0
2019,5713.0,3027.0,47.0,68.0,0.82,2.25
2020,3073.0,1482.0,15.0,32.0,0.49,2.16
2021,1733.0,651.0,22.0,25.0,1.27,3.84
2022,3855.0,1150.0,32.0,63.0,0.83,5.48
2023,4472.0,1629.0,22.0,66.0,0.49,4.05
2024,5147.0,1599.0,48.0,61.0,0.93,3.81
