district,target,feature,correlation,abs_correlation
Kilinochchi,asthma_cfr,carbon_gross_emissions_yearly,0.5087597975032055,0.5087597975032055
Kilinochchi,asthma_cfr,female_population_1k,-0.5044772302996712,0.5044772302996712
Kilinochchi,asthma_cfr,total_population_1k,-0.5019998904155519,0.5019998904155519
Kilinochchi,asthma_cfr,male_population_1k,-0.4970833882554593,0.4970833882554593
Kilinochchi,asthma_cfr,tc_loss_ha,0.4492750412782941,0.4492750412782941
Kilinochchi,asthma_cfr,vim_anomaly,-0.14942411900003127,0.14942411900003127
Kilinochchi,asthma_cfr,no2_ug_m3,-0.1328125657424753,0.1328125657424753
Kilinochchi,asthma_cfr,frp_total,0.12949233113189212,0.12949233113189212
Kilinochchi,asthma_cfr,vim,-0.10228998759140943,0.10228998759140943
Kilinochchi,asthma_cfr,brightness,-0.048851248453288636,0.048851248453288636
Kilinochchi,asthma_deaths,carbon_gross_emissions_yearly,0.5362923366691413,0.5362923366691413
Kilinochchi,asthma_deaths,tc_loss_ha,0.5010233145902283,0.5010233145902283
Kilinochchi,asthma_deaths,male_population_1k,-0.4894130562876359,0.4894130562876359
Kilinochchi,asthma_deaths,total_population_1k,-0.48495790643628434,0.48495790643628434
Kilinochchi,asthma_deaths,female_population_1k,-0.4783091066070416,0.4783091066070416
Kilinochchi,asthma_deaths,frp_total,0.1773743356638154,0.1773743356638154
Kilinochchi,asthma_deaths,vim_anomaly,-0.158419595364164,0.158419595364164
Kilinochchi,asthma_deaths,no2_ug_m3,-0.12094486037438262,0.12094486037438262
Kilinochchi,asthma_deaths,vim,-0.10968455252980004,0.10968455252980004
Kilinochchi,asthma_deaths,so2_ug_m3,-0.0605575347005084,0.0605575347005084
Kilinochchi,asthma_live_discharges,no2_ug_m3,0.12994203053631148,0.12994203053631148
Kilinochchi,asthma_live_discharges,female_population_1k,0.12498688790348432,0.12498688790348432
Kilinochchi,asthma_live_discharges,total_population_1k,0.1141675529244325,0.1141675529244325
Kilinochchi,asthma_live_discharges,male_population_1k,0.10260893988088754,0.10260893988088754
Kilinochchi,asthma_live_discharges,frp_total,0.10185048629459016,0.10185048629459016
Kilinochchi,asthma_live_discharges,frp_mean,0.09134772670359492,0.09134772670359492
Kilinochchi,asthma_live_discharges,pm2.5_ug_m3,0.0898945976687556,0.0898945976687556
Kilinochchi,asthma_live_discharges,tc_loss_ha,0.03821510090993513,0.03821510090993513
Kilinochchi,asthma_live_discharges,carbon_gross_emissions_yearly,-0.03332148475312632,0.03332148475312632
Kilinochchi,asthma_live_discharges,so2_ug_m3,-0.03317411789774115,0.03317411789774115
Kilinochchi,bronchitis_cfr,female_population_1k,-0.8027511411184826,0.8027511411184826
Kilinochchi,bronchitis_cfr,total_population_1k,-0.7997821885870644,0.7997821885870644
Kilinochchi,bronchitis_cfr,male_population_1k,-0.7929447796342022,0.7929447796342022
Kilinochchi,bronchitis_cfr,tc_loss_ha,-0.11471960390731682,0.11471960390731682
Kilinochchi,bronchitis_cfr,carbon_gross_emissions_yearly,-0.0736076823879507,0.0736076823879507
Kilinochchi,bronchitis_cfr,pm2.5_ug_m3,-0.07261878513912225,0.07261878513912225
Kilinochchi,bronchitis_cfr,frp_mean,-0.05790337269935605,0.05790337269935605
Kilinochchi,bronchitis_cfr,vim_anomaly,0.047230146219481156,0.047230146219481156
Kilinochchi,bronchitis_cfr,frp_total,-0.04397412316712431,0.04397412316712431
Kilinochchi,bronchitis_cfr,brightness,-0.043569269413491186,0.043569269413491186
Kilinochchi,bronchitis_deaths,female_population_1k,-0.48829634766652613,0.48829634766652613
Kilinochchi,bronchitis_deaths,total_population_1k,-0.4806241723197152,0.4806241723197152
Kilinochchi,bronchitis_deaths,male_population_1k,-0.47052132016942083,0.47052132016942083
Kilinochchi,bronchitis_deaths,carbon_gross_emissions_yearly,-0.3650010647577141,0.3650010647577141
Kilinochchi,bronchitis_deaths,tc_loss_ha,-0.3441211767129171,0.3441211767129171
Kilinochchi,bronchitis_deaths,no2_ug_m3,0.1311808275478953,0.1311808275478953
Kilinochchi,bronchitis_deaths,vim_anomaly,0.08616029913771811,0.08616029913771811
Kilinochchi,bronchitis_deaths,frp_total,-0.05998044342406492,0.05998044342406492
Kilinochchi,bronchitis_deaths,vim,0.056450107999082275,0.056450107999082275
Kilinochchi,bronchitis_deaths,frp_mean,0.03822893094393794,0.03822893094393794
Kilinochchi,bronchitis_live_discharges,carbon_gross_emissions_yearly,-0.3086428828623373,0.3086428828623373
Kilinochchi,bronchitis_live_discharges,tc_loss_ha,-0.25438072952942054,0.25438072952942054
Kilinochchi,bronchitis_live_discharges,no2_ug_m3,0.18171222730807876,0.18171222730807876
Kilinochchi,bronchitis_live_discharges,male_population_1k,0.12240503368349533,0.12240503368349533
Kilinochchi,bronchitis_live_discharges,total_population_1k,0.11477112338946766,0.11477112338946766
Kilinochchi,bronchitis_live_discharges,frp_mean,0.11148060963721708,0.11148060963721708
Kilinochchi,bronchitis_live_discharges,female_population_1k,0.10673436240200253,0.10673436240200253
Kilinochchi,bronchitis_live_discharges,pm2.5_ug_m3,0.10540011021274723,0.10540011021274723
Kilinochchi,bronchitis_live_discharges,vim_anomaly,0.07205066469711682,0.07205066469711682
Kilinochchi,bronchitis_live_discharges,vim,0.04826505779310253,0.04826505779310253
