year,January,February,March,April,May,June,July,August,September,October,November,December
2014,16979.0,16979.0,16979.0,16979.0,16979.0,16979.0,16979.0,16979.0,16979.0,16979.0,16979.0,16979.0
2015,16984.0,16984.0,16984.0,16984.0,16984.0,16984.0,16984.0,16984.0,16984.0,16984.0,16984.0,16984.0
2016,14733.0,14733.0,14733.0,14733.0,14733.0,14733.0,14733.0,14733.0,14733.0,14733.0,14733.0,14733.0
2017,15338.0,15338.0,15338.0,15338.0,15338.0,15338.0,15338.0,15338.0,15338.0,15338.0,15338.0,15338.0
2018,14178.0,14178.0,14178.0,14178.0,14178.0,14178.0,14178.0,14178.0,14178.0,14178.0,14178.0,14178.0
2019,15075.0,15075.0,15075.0,15075.0,15075.0,15075.0,15075.0,15075.0,15075.0,15075.0,15075.0,15075.0
2020,8215.0,8215.0,8215.0,8215.0,8215.0,8215.0,8215.0,8215.0,8215.0,8215.0,8215.0,8215.0
2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2022,11198.0,11198.0,11198.0,11198.0,11198.0,11198.0,11198.0,11198.0,11198.0,11198.0,11198.0,11198.0
2023,14693.0,14693.0,14693.0,14693.0,14693.0,14693.0,14693.0,14693.0,14693.0,14693.0,14693.0,14693.0
2024,16498.0,16498.0,16498.0,16498.0,16498.0,16498.0,16498.0,16498.0,16498.0,16498.0,16498.0,16498.0
