year,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
2014,769.0,91.0,1.0,5.0,0.13,5.489999999999999
2015,809.0,94.0,3.0,1.0,0.36999999999999994,1.06
2016,720.0,96.0,2.0,0.0,0.28,0.0
2017,656.0,134.0,1.0,0.0,0.15,0.0
2018,637.0,227.0,1.0,0.0,0.16,0.0
2019,591.0,427.0,0.0,3.0,0.0,0.6999999999999998
2020,363.0,140.0,0.0,0.0,0.0,0.0
2021,205.0,64.0,0.0,1.0,0.0,1.5599999999999998
2022,508.0,124.0,0.0,0.0,0.0,0.0
2023,833.0,111.0,2.0,1.0,0.24,0.9
2024,546.0,188.0,1.0,2.0,0.18000000000000002,1.06
