year,January,February,March,April,May,June,July,August,September,October,November,December
2014,3963.0,3963.0,3963.0,3963.0,3963.0,3963.0,3963.0,3963.0,3963.0,3963.0,3963.0,3963.0
2015,3841.0,3841.0,3841.0,3841.0,3841.0,3841.0,3841.0,3841.0,3841.0,3841.0,3841.0,3841.0
2016,3742.0,3742.0,3742.0,3742.0,3742.0,3742.0,3742.0,3742.0,3742.0,3742.0,3742.0,3742.0
2017,3411.0,3411.0,3411.0,3411.0,3411.0,3411.0,3411.0,3411.0,3411.0,3411.0,3411.0,3411.0
2018,3407.0,3407.0,3407.0,3407.0,3407.0,3407.0,3407.0,3407.0,3407.0,3407.0,3407.0,3407.0
2019,3995.0,3995.0,3995.0,3995.0,3995.0,3995.0,3995.0,3995.0,3995.0,3995.0,3995.0,3995.0
2020,2215.0,2215.0,2215.0,2215.0,2215.0,2215.0,2215.0,2215.0,2215.0,2215.0,2215.0,2215.0
2021,1231.0,1231.0,1231.0,1231.0,1231.0,1231.0,1231.0,1231.0,1231.0,1231.0,1231.0,1231.0
2022,2774.0,2774.0,2774.0,2774.0,2774.0,2774.0,2774.0,2774.0,2774.0,2774.0,2774.0,2774.0
2023,2887.0,2887.0,2887.0,2887.0,2887.0,2887.0,2887.0,2887.0,2887.0,2887.0,2887.0,2887.0
2024,3126.0,3126.0,3126.0,3126.0,3126.0,3126.0,3126.0,3126.0,3126.0,3126.0,3126.0,3126.0
