,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr,pm2.5_ug_m3,no2_ug_m3,so2_ug_m3,frp_total,frp_mean,brightness,bright_t31,tc_loss_ha,carbon_gross_emissions_yearly,vim,vim_anomaly,vim_climatology,total_population_1k,male_population_1k,female_population_1k
asthma_live_discharges,1.0,0.5824865864561597,0.035754213687804605,0.42974522980510443,-0.7736587229058837,0.08632355167691919,-0.1508489836532406,0.12939140305656624,-0.19395896505833468,-0.07248655993031917,-0.17336283336720446,-0.04507383780600366,-0.03951446549381189,-0.34346825006361054,-0.3458387358261365,-0.0011379596361531148,-0.002026588946806571,0.0011329134960330217,-0.2559457940019994,-0.2658486561713507,-0.24616856933615777
bronchitis_live_discharges,0.5824865864561597,1.0,0.2578780478401804,0.6360059667592635,-0.04056827793280042,0.043773303920059556,-0.13888016940665351,-0.004718183284258823,-0.14631351957170113,-0.08563091045427182,-0.14617578530683784,-0.04182508176892173,-0.039506229899547,-0.3372470963615306,-0.3464763170572297,-0.03546043520610482,-0.05245134515843326,-0.0004257786067921112,-0.18206375038088274,-0.1985499221522373,-0.16602703503756003
asthma_deaths,0.035754213687804605,0.2578780478401804,1.0,0.2918218574219209,0.3209020068131362,0.19991325827254805,-0.02608712898773463,0.28674129531972864,0.03621921016263463,0.08990403657375762,0.02878059462832472,0.06120449483442082,0.061497696910467074,-0.0551971187829626,-0.046445843054660665,0.09301814615985397,0.13902217573304548,-0.000834963384384128,-0.5849927860746966,-0.5758388621239398,-0.5932215682449
bronchitis_deaths,0.42974522980510443,0.6360059667592635,0.2918218574219209,1.0,-0.03325193546380167,0.7769869186025326,-0.08299636139630621,0.10004476202314835,-0.003930269199353402,-0.17418450517917494,-0.15938870603502997,-0.1791149574383857,-0.18072752947843201,-0.6753182251907905,-0.6602654631851056,0.001254981300219064,0.0030436365592810322,-0.001835252475413534,-0.3023676971432637,-0.3104679191748099,-0.2942786539671327
asthma_cfr,-0.7736587229058837,-0.04056827793280042,0.3209020068131362,-0.03325193546380167,1.0,-0.0063684672540711505,0.14335672260456303,-0.04703768066787122,0.19840182201194997,0.03388225310711269,0.1051975517700073,0.03678779717958145,0.032958432463396234,0.3378429511636003,0.3448973681442286,-0.0008872715432953249,-0.001040755677626726,-0.0015043571164615448,-0.013704650845702365,-0.004890170322600383,-0.022169478518737896
bronchitis_cfr,0.08632355167691919,0.043773303920059556,0.19991325827254805,0.7769869186025326,-0.0063684672540711505,1.0,0.015369912517845684,0.11795244346174057,0.12130738154938435,-0.17192204280339732,-0.07983247019722109,-0.20124230726241876,-0.20609166338321544,-0.5988687838233673,-0.5710710709063367,0.04913263627852099,0.07518464231253236,-0.0029577887289812363,-0.2034914345441632,-0.2024740581219114,-0.20426963462453682
pm2.5_ug_m3,-0.1508489836532406,-0.13888016940665351,-0.02608712898773463,-0.08299636139630621,0.14335672260456303,0.015369912517845684,1.0,-0.3754750971334928,0.13932605713335194,-0.017264644432759733,0.009986796086343973,-0.012070773817211814,-0.013284885787008736,0.25189963392916126,0.2558084750164352,-0.16305546487020814,-0.028037795689672254,-0.202888376598253,0.09235220304222695,0.09867285104536883,0.08618166709347944
no2_ug_m3,0.12939140305656624,-0.004718183284258823,0.28674129531972864,0.10004476202314835,-0.04703768066787122,0.11795244346174057,-0.3754750971334928,1.0,0.16539279407536844,0.19554005133731775,0.214438933756951,0.23568014538521767,0.23556268568619365,-0.020567753673916316,-0.011536143086476401,0.44865177448446075,0.20973508115289624,0.4296135118801677,-0.38546276027042387,-0.38432502984441563,-0.38617753847570097
so2_ug_m3,-0.19395896505833468,-0.14631351957170113,0.03621921016263463,-0.003930269199353402,0.19840182201194997,0.12130738154938435,0.13932605713335194,0.16539279407536844,1.0,-0.05666345357873679,-0.10709973270955205,-0.15253931926081052,-0.15310190581722913,0.1769341713128602,0.18427583630916966,0.30270168228871913,0.041464131858950475,0.3818261820159826,0.08426835574524512,0.0918408093405307,0.07690171444244108
frp_total,-0.07248655993031917,-0.08563091045427182,0.08990403657375762,-0.17418450517917494,0.03388225310711269,-0.17192204280339732,-0.017264644432759733,0.19554005133731775,-0.05666345357873679,1.0,0.5834077945398614,0.5991345634570828,0.5950403627305686,0.1369147471818946,0.13243794962390737,-0.15865697821202385,-0.05700218176352056,-0.16714403192245597,0.0036171702341491713,0.006652812019751636,0.000693736960685483
