year,January,February,March,April,May,June,July,August,September,October,November,December
2014,6141.0,6141.0,6141.0,6141.0,6141.0,6141.0,6141.0,6141.0,6141.0,6141.0,6141.0,6141.0
2015,6450.0,6450.0,6450.0,6450.0,6450.0,6450.0,6450.0,6450.0,6450.0,6450.0,6450.0,6450.0
2016,6031.0,6031.0,6031.0,6031.0,6031.0,6031.0,6031.0,6031.0,6031.0,6031.0,6031.0,6031.0
2017,5932.0,5932.0,5932.0,5932.0,5932.0,5932.0,5932.0,5932.0,5932.0,5932.0,5932.0,5932.0
2018,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,6447.0,6447.0,6447.0,6447.0,6447.0,6447.0,6447.0,6447.0,6447.0,6447.0,6447.0,6447.0
2020,4266.0,4266.0,4266.0,4266.0,4266.0,4266.0,4266.0,4266.0,4266.0,4266.0,4266.0,4266.0
2021,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0
2022,5342.0,5342.0,5342.0,5342.0,5342.0,5342.0,5342.0,5342.0,5342.0,5342.0,5342.0,5342.0
2023,6873.0,6873.0,6873.0,6873.0,6873.0,6873.0,6873.0,6873.0,6873.0,6873.0,6873.0,6873.0
2024,6446.0,6446.0,6446.0,6446.0,6446.0,6446.0,6446.0,6446.0,6446.0,6446.0,6446.0,6446.0
