year,January,February,March,April,May,June,July,August,September,October,November,December
2014,7221.0,7221.0,7221.0,7221.0,7221.0,7221.0,7221.0,7221.0,7221.0,7221.0,7221.0,7221.0
2015,8910.0,8910.0,8910.0,8910.0,8910.0,8910.0,8910.0,8910.0,8910.0,8910.0,8910.0,8910.0
2016,5949.0,5949.0,5949.0,5949.0,5949.0,5949.0,5949.0,5949.0,5949.0,5949.0,5949.0,5949.0
2017,6412.0,6412.0,6412.0,6412.0,6412.0,6412.0,6412.0,6412.0,6412.0,6412.0,6412.0,6412.0
2018,5423.0,5423.0,5423.0,5423.0,5423.0,5423.0,5423.0,5423.0,5423.0,5423.0,5423.0,5423.0
2019,4403.0,4403.0,4403.0,4403.0,4403.0,4403.0,4403.0,4403.0,4403.0,4403.0,4403.0,4403.0
2020,3505.0,3505.0,3505.0,3505.0,3505.0,3505.0,3505.0,3505.0,3505.0,3505.0,3505.0,3505.0
2021,2318.0,2318.0,2318.0,2318.0,2318.0,2318.0,2318.0,2318.0,2318.0,2318.0,2318.0,2318.0
2022,4451.0,4451.0,4451.0,4451.0,4451.0,4451.0,4451.0,4451.0,4451.0,4451.0,4451.0,4451.0
2023,5450.0,5450.0,5450.0,5450.0,5450.0,5450.0,5450.0,5450.0,5450.0,5450.0,5450.0,5450.0
2024,5551.0,5551.0,5551.0,5551.0,5551.0,5551.0,5551.0,5551.0,5551.0,5551.0,5551.0,5551.0
