district,target,feature,correlation,abs_correlation
Nuwara Eliya,asthma_cfr,frp_mean,-0.19333399275239713,0.19333399275239713
Nuwara Eliya,asthma_cfr,pm2.5_ug_m3,0.18286355117727576,0.18286355117727576
Nuwara Eliya,asthma_cfr,brightness,-0.17184813250255962,0.17184813250255962
Nuwara Eliya,asthma_cfr,bright_t31,-0.168582358937573,0.168582358937573
Nuwara Eliya,asthma_cfr,tc_loss_ha,-0.15850820269074634,0.15850820269074634
Nuwara Eliya,asthma_cfr,carbon_gross_emissions_yearly,-0.12950105063414016,0.12950105063414016
Nuwara Eliya,asthma_cfr,frp_total,-0.11782410602488294,0.11782410602488294
Nuwara Eliya,asthma_cfr,vim_anomaly,0.08829339759053623,0.08829339759053623
Nuwara Eliya,asthma_cfr,no2_ug_m3,0.07904872137865177,0.07904872137865177
Nuwara Eliya,asthma_cfr,vim,0.0716632179527135,0.0716632179527135
Nuwara Eliya,asthma_cfr,female_population_1k,-0.02916103799111133,0.02916103799111133
Nuwara Eliya,asthma_cfr,total_population_1k,-0.023733384692101542,0.023733384692101542
Nuwara Eliya,asthma_cfr,male_population_1k,-0.017682491539583182,0.017682491539583182
Nuwara Eliya,asthma_cfr,vim_climatology,-0.002949937657338332,0.002949937657338332
Nuwara Eliya,asthma_cfr,so2_ug_m3,-0.002222884670548501,0.002222884670548501
Nuwara Eliya,asthma_deaths,male_population_1k,-0.3197012872771172,0.3197012872771172
Nuwara Eliya,asthma_deaths,total_population_1k,-0.3041296929815672,0.3041296929815672
Nuwara Eliya,asthma_deaths,female_population_1k,-0.28961174015739016,0.28961174015739016
Nuwara Eliya,asthma_deaths,carbon_gross_emissions_yearly,-0.2626027013932196,0.2626027013932196
Nuwara Eliya,asthma_deaths,tc_loss_ha,-0.22643813662986767,0.22643813662986767
Nuwara Eliya,asthma_deaths,frp_mean,0.20339136477794056,0.20339136477794056
Nuwara Eliya,asthma_deaths,frp_total,0.1681364247044811,0.1681364247044811
Nuwara Eliya,asthma_deaths,no2_ug_m3,-0.13990788773758042,0.13990788773758042
Nuwara Eliya,asthma_deaths,brightness,0.112474370528447,0.112474370528447
Nuwara Eliya,asthma_deaths,bright_t31,0.10876182061889571,0.10876182061889571
