year,January,February,March,April,May,June,July,August,September,October,November,December
2014,3829.0,3829.0,3829.0,3829.0,3829.0,3829.0,3829.0,3829.0,3829.0,3829.0,3829.0,3829.0
2015,4511.0,4511.0,4511.0,4511.0,4511.0,4511.0,4511.0,4511.0,4511.0,4511.0,4511.0,4511.0
2016,3825.0,3825.0,3825.0,3825.0,3825.0,3825.0,3825.0,3825.0,3825.0,3825.0,3825.0,3825.0
2017,4103.0,4103.0,4103.0,4103.0,4103.0,4103.0,4103.0,4103.0,4103.0,4103.0,4103.0,4103.0
2018,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2019,3940.0,3940.0,3940.0,3940.0,3940.0,3940.0,3940.0,3940.0,3940.0,3940.0,3940.0,3940.0
2020,2299.0,2299.0,2299.0,2299.0,2299.0,2299.0,2299.0,2299.0,2299.0,2299.0,2299.0,2299.0
2021,1417.0,1417.0,1417.0,1417.0,1417.0,1417.0,1417.0,1417.0,1417.0,1417.0,1417.0,1417.0
2022,3103.0,3103.0,3103.0,3103.0,3103.0,3103.0,3103.0,3103.0,3103.0,3103.0,3103.0,3103.0
2023,2970.0,2970.0,2970.0,2970.0,2970.0,2970.0,2970.0,2970.0,2970.0,2970.0,2970.0,2970.0
2024,3119.0,3119.0,3119.0,3119.0,3119.0,3119.0,3119.0,3119.0,3119.0,3119.0,3119.0,3119.0
