year,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
2014,3829.0,2730.0,15.0,68.0,0.38999999999999996,2.49
2015,4511.0,3341.0,16.0,74.0,0.3499999999999999,2.21
2016,3825.0,2.0,17.0,44.0,0.44,2200.0
2017,4103.0,2607.0,8.0,57.0,0.19000000000000003,2.19
2018,3.0,2.0,9.0,46.0,300.0,2300.0
2019,3940.0,2406.0,22.0,36.0,0.56,1.5
2020,2299.0,1738.0,9.0,31.0,0.38999999999999996,1.78
2021,1417.0,1060.0,14.0,47.0,0.9899999999999999,4.43
2022,3103.0,2034.0,11.0,64.0,0.3499999999999999,3.15
2023,2970.0,2818.0,12.0,77.0,0.4000000000000001,2.73
2024,3119.0,2376.0,11.0,61.0,0.3499999999999999,2.57
