,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr,pm2.5_ug_m3,no2_ug_m3,so2_ug_m3,frp_total,frp_mean,brightness,bright_t31,tc_loss_ha,carbon_gross_emissions_yearly,vim,vim_anomaly,vim_climatology,total_population_1k,male_population_1k,female_population_1k
asthma_live_discharges,1.0,0.2998082661038606,0.3751870526235942,0.5765845121890962,0.14917107889872522,0.5102006778804491,-0.02095161909186484,-0.23779950096854816,-0.01935867326955113,0.02783494042314959,-0.009664105603857085,0.0065050541214502905,0.006547225758768727,-0.08512054618307761,-0.09313171472659092,-0.10979469619166331,-0.14663472513312192,-0.002907567098667904,-0.7365681840012573,-0.7158618997373203,-0.7539396214757746
bronchitis_live_discharges,0.2998082661038606,1.0,-0.16227444081014072,0.7399701599036886,-0.25255655920611103,-0.11917533751003838,-0.01283953664070592,0.20386682300328052,0.028385078080089866,0.07353716227559787,0.014164883374883764,-0.007672669766707598,-0.010914481190306425,-0.3740698859590768,-0.38477024771591745,-0.01892745214811102,-0.025083923794992417,-0.0008723254326609517,0.28936252549256897,0.3238421326885064,0.2568632940293881
asthma_deaths,0.3751870526235942,-0.16227444081014072,1.0,0.14065327329386085,0.9678926296476945,0.45813520211905273,0.11295797590156827,-0.23631008699099437,-0.03877525081036014,0.18080233612861382,0.05512139587682642,0.03199533328572481,0.03284486242088402,0.6095886937278976,0.6354561337066759,-0.11050985837250843,-0.1584465254326153,0.005139943735939652,-0.4933176583400138,-0.48247562454979603,-0.5021598305057705
bronchitis_deaths,0.5765845121890962,0.7399701599036886,0.14065327329386085,1.0,0.036261776641825186,0.5742743307749958,-0.020146364092724904,0.058950019456768456,0.03241806003327491,0.007206071901221503,-0.004036676158618495,-0.051107690976827005,-0.05450527353834153,-0.19790443811923733,-0.2087814729381386,0.030298178798973997,0.0453036753964448,-0.0027701321264740034,-0.08977280585537871,-0.06279032960323284,-0.11446022891441877
asthma_cfr,0.14917107889872522,-0.25255655920611103,0.9678926296476945,0.036261776641825186,1.0,0.40910024414279916,0.1305520139871587,-0.1839448960993304,-0.03211812411054033,0.17120300392951923,0.0582086383131467,0.02552175437921356,0.026262943401108785,0.6710592467558603,0.6971076433424496,-0.08169404172359486,-0.11945069825849297,0.0053484221320034605,-0.32657895764610706,-0.3211670111885435,-0.33080331214695036
bronchitis_cfr,0.5102006778804491,-0.11917533751003838,0.45813520211905273,0.5742743307749958,0.40910024414279916,1.0,-0.017073988477952187,-0.17690595142000407,0.009178874399244778,-0.05302250714739956,-0.015439712820031573,-0.05703850427207812,-0.058226008449570946,0.21436559629792673,0.21308416361080107,0.048519087316896484,0.0702180616489579,-0.0028417346644768167,-0.5269907655215549,-0.5269127086618381,-0.525820745313173
pm2.5_ug_m3,-0.02095161909186484,-0.01283953664070592,0.11295797590156827,-0.020146364092724904,0.1305520139871587,-0.017073988477952187,1.0,-0.25285350589316297,0.23894673589778276,0.07213789734421279,0.2389335707553806,0.2606890054803423,0.2610428281039419,-0.02333781540293069,-0.0322148331537767,-0.18686225054652422,-0.21647173958355684,-0.042531179776740306,0.06880280245843885,0.07241019039949037,0.06531180201056469
no2_ug_m3,-0.23779950096854816,0.20386682300328052,-0.23631008699099437,0.058950019456768456,-0.1839448960993304,-0.17690595142000407,-0.25285350589316297,1.0,-0.25716373799263476,-0.0779613089126256,-0.15208841620840238,-0.1496550220524107,-0.14680584911784825,-0.18860434317770114,-0.1930560669431192,-0.027031669999560557,0.15996074045863715,-0.18577616360108737,0.3834143773061403,0.38698218850000277,0.3792183984035289
so2_ug_m3,-0.01935867326955113,0.028385078080089866,-0.03877525081036014,0.03241806003327491,-0.03211812411054033,0.009178874399244778,0.23894673589778276,-0.25716373799263476,1.0,0.2825364926140246,0.46253935252799594,0.503492465358567,0.495768650358218,-0.06169269784821202,-0.06220811081165667,-0.4424744299518781,0.09861454711105057,-0.6744902514843196,0.05857642135357205,0.05794555392666633,0.059020518789364484
frp_total,0.02783494042314959,0.07353716227559787,0.18080233612861382,0.007206071901221503,0.17120300392951923,-0.05302250714739956,0.07213789734421279,-0.0779613089126256,0.2825364926140246,1.0,0.33168964717214566,0.27033410644229855,0.268811337633733,0.20270411156971774,0.20927157809350277,-0.5255230799718245,-0.285518576577895,-0.42121855769774696,-0.07069181218374825,-0.06409727547776509,-0.07661053571137803
frp_mean,-0.009664105603857085,0.014164883374883764,0.05512139587682642,-0.004036676158618495,0.0582086383131467,-0.015439712820031573,0.2389335707553806,-0.15208841620840238,0.46253935252799594,0.33168964717214566,1.0,0.794249695488831,0.7834851438805592,0.035380267541434925,0.03979240011347617,-0.3319788108587876,-0.012487818712127976,-0.4260255849097258,0.014244913024212534,0.017727796018564914,0.01099738975908844
brightness,0.0065050541214502905,-0.007672669766707598,0.03199533328572481,-0.051107690976827005,0.02552175437921356,-0.05703850427207812,0.2606890054803423,-0.1496550220524107,0.503492465358567,0.27033410644229855,0.794249695488831,1.0,0.9994568172916162,0.07387955513395168,0.07184576399095564,-0.3942954543935504,0.0034041306483735606,-0.5220330358636431,-0.0381414483629903,-0.03651127780183232,-0.03955584968369605
bright_t31,0.006547225758768727,-0.010914481190306425,0.03284486242088402,-0.05450527353834153,0.026262943401108785,-0.058226008449570946,0.2610428281039419,-0.14680584911784825,0.495768650358218,0.268811337633733,0.7834851438805592,0.9994568172916162,1.0,0.07728381888164793,0.0751994632479216,-0.3926957175323341,0.0026705956770365132,-0.5193965691274905,-0.0410100549052783,-0.03958534416897112,-0.04222810018173284
tc_loss_ha,-0.08512054618307761,-0.3740698859590768,0.6095886937278976,-0.19790443811923733,0.6710592467558603,0.21436559629792673,-0.02333781540293069,-0.18860434317770114,-0.06169269784821202,0.20270411156971774,0.035380267541434925,0.07387955513395168,0.07728381888164793,1.0,0.9967073129295423,-0.13540730741596044,-0.19146994709800721,0.0029497504774493363,-0.4034548534914128,-0.405060321648456,-0.40102246113970375
