year,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
2014,4603.0,720.0,11.0,25.0,0.24,3.47
2015,4206.0,754.0,7.0,42.0,0.17,5.57
2016,3323.0,695.0,28.0,33.0,0.84,4.75
2017,2996.0,786.0,9.0,42.0,0.3,5.34
2018,3157.0,900.0,6.0,37.0,0.19000000000000003,4.11
2019,3182.0,1315.0,7.0,42.0,0.22,3.19
2020,1766.0,773.0,1.0,17.0,0.06,2.2
2021,1391.0,440.0,3.0,14.0,0.22,3.18
2022,2982.0,937.0,6.0,32.0,0.20000000000000004,3.42
2023,3461.0,1303.0,5.0,50.0,0.14,3.84
2024,3421.0,1108.0,8.0,42.0,0.23,3.7900000000000005
