,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr,pm2.5_ug_m3,no2_ug_m3,so2_ug_m3,frp_total,frp_mean,brightness,bright_t31,tc_loss_ha,carbon_gross_emissions_yearly,vim,vim_anomaly,vim_climatology,total_population_1k,male_population_1k,female_population_1k
asthma_live_discharges,1.0,0.141826461740256,-0.6123084535783287,0.8091644654528254,-0.8220027118905976,0.623483944347872,-0.04613015030317865,-0.11967724951301272,-0.032805998152100696,0.09120381838101806,-0.06480878043906485,-0.11203996276660658,-0.060128746898945123,-0.417068365406714,-0.4563411078846144,-0.11476007398100128,-0.1625294566827761,-0.002367401941583421,-0.7594684191019168,-0.7550735633058723,-0.7632103573749828
bronchitis_live_discharges,0.141826461740256,1.0,-0.0203485214320564,-0.12597525951148864,-0.27930037312952727,-0.5668433040557102,0.06765587868811244,0.13670301751855055,0.08841746582989321,-0.13884937990065727,0.06906569463754236,0.1027623821350705,-0.05927993688584871,-0.0775921257531163,-0.06045743469916821,-0.11565206462555541,-0.16584977616734964,-0.003274885721027264,0.24649392979665766,0.2432819209491921,0.24936402514994008
asthma_deaths,-0.6123084535783287,-0.0203485214320564,1.0,-0.4859573907274964,0.9037584861156936,-0.40412033975507594,0.05174407706374944,0.046689075691165455,0.020429957523462945,-0.06837688942642552,-0.01196483428318203,0.013754862439968655,-0.015070601989943524,0.25288206882587994,0.2685448341250075,0.10093818636573092,0.14121541315669614,0.0010935119989060886,0.45013540284102427,0.4513059246512916,0.4488527632032075
bronchitis_deaths,0.8091644654528254,-0.12597525951148864,-0.4859573907274964,1.0,-0.5744464744896447,0.7340703619690496,-0.06604779153803729,-0.11247155684292952,-0.029687704414351927,0.06498764297413538,-0.064655678051356,-0.13097485252293645,-0.05712277309269641,-0.6533480037373939,-0.6713245728585686,-0.04580853509543021,-0.06019876877568615,-0.0056791831640257365,-0.6530555101511405,-0.6562262290023112,-0.6498293388562362
asthma_cfr,-0.8220027118905976,-0.27930037312952727,0.9037584861156936,-0.5744464744896447,1.0,-0.35774547337943574,0.04424573560147387,0.05308826424677336,0.011191793538090467,-0.06202313817612634,-0.010981009319031945,0.01862606028021121,0.01463111121934774,0.3293076079793687,0.36528346351915275,0.1381460365791995,0.19701070312999372,0.0005233467365712709,0.5805873208862581,0.580740121609692,0.580191117106309
bronchitis_cfr,0.623483944347872,-0.5668433040557102,-0.40412033975507594,0.7340703619690496,-0.35774547337943574,1.0,-0.01327042498660573,-0.1721697973970938,-0.05709387460361484,0.1610780171785317,-0.09494081665886993,-0.1452109002066693,0.001513747762188201,-0.3074161549488112,-0.32112349242380367,-0.030143212306636295,-0.040744699441521474,-0.0029456078860067235,-0.5989186445220689,-0.5914679310215003,-0.6055643423902094
pm2.5_ug_m3,-0.04613015030317865,0.06765587868811244,0.05174407706374944,-0.06604779153803729,0.04424573560147387,-0.01327042498660573,1.0,-0.34017024351406033,0.37847692957019075,-0.03661934345742205,0.15144876344635486,0.2102005793285522,-0.06029923127295892,0.12980987051118756,0.1348542589445957,-0.27496798498886704,-0.10395731597376819,-0.25763733122712945,0.07003540517909855,0.07062571081239573,0.06945737361396966
no2_ug_m3,-0.11967724951301272,0.13670301751855055,0.046689075691165455,-0.11247155684292952,0.05308826424677336,-0.1721697973970938,-0.34017024351406033,1.0,-0.09699934699453042,-0.1404749576158845,-0.251330611929638,-0.24603996363976102,0.14754588379159783,-0.04171229088727453,-0.02706840186708031,0.22660855188812098,0.003713014641899823,0.28323460937292844,0.2037319536458862,0.2026615778038856,0.2046350849630542
so2_ug_m3,-0.032805998152100696,0.08841746582989321,0.020429957523462945,-0.029687704414351927,0.011191793538090467,-0.05709387460361484,0.37847692957019075,-0.09699934699453042,1.0,0.14618178798667447,0.4472259362597317,0.30931791672279974,-0.30260917524739434,-0.0014983156939233726,0.004849410691997078,-0.4859316615419979,0.07097456171916627,-0.6723905915975248,0.06748100724720595,0.06655083381017372,0.06831387564925591
frp_total,0.09120381838101806,-0.13884937990065727,-0.06837688942642552,0.06498764297413538,-0.06202313817612634,0.1610780171785317,-0.03661934345742205,-0.1404749576158845,0.14618178798667447,1.0,0.3610913261935937,0.16995563908740605,0.20490138496762733,0.02809443603227686,0.009623883665167088,-0.49714998043726066,-0.17179357493455658,-0.47694239386944676,-0.18295662813558033,-0.18187692982712705,-0.18387751103528102
frp_mean,-0.06480878043906485,0.06906569463754236,-0.01196483428318203,-0.064655678051356,-0.010981009319031945,-0.09494081665886993,0.15144876344635486,-0.251330611929638,0.4472259362597317,0.3610913261935937,1.0,0.8350553123603448,0.20369425836092903,0.0525850450195383,0.03786336238030466,-0.4418099590320798,0.0239466745747037,-0.575720330150333,-0.0068223085661945435,-0.009572213118535695,-0.004269620775770704
