district,target,feature,correlation,abs_correlation
Puttalam,asthma_cfr,male_population_1k,0.580740121609693,0.580740121609693
Puttalam,asthma_cfr,total_population_1k,0.5805873208862604,0.5805873208862604
Puttalam,asthma_cfr,female_population_1k,0.5801911171063093,0.5801911171063093
Puttalam,asthma_cfr,carbon_gross_emissions_yearly,0.365283463519153,0.365283463519153
Puttalam,asthma_cfr,tc_loss_ha,0.32930760797936837,0.32930760797936837
Puttalam,asthma_cfr,vim_anomaly,0.1970107031299938,0.1970107031299938
Puttalam,asthma_cfr,vim,0.13814603657920171,0.13814603657920171
Puttalam,asthma_cfr,frp_total,-0.06202313817612633,0.06202313817612633
Puttalam,asthma_cfr,no2_ug_m3,0.05308826424677382,0.05308826424677382
Puttalam,asthma_cfr,pm2.5_ug_m3,0.044245735601474045,0.044245735601474045
Puttalam,asthma_deaths,male_population_1k,0.45130592465129227,0.45130592465129227
Puttalam,asthma_deaths,total_population_1k,0.4501354028410259,0.4501354028410259
Puttalam,asthma_deaths,female_population_1k,0.44885276320320733,0.44885276320320733
Puttalam,asthma_deaths,carbon_gross_emissions_yearly,0.2685448341250075,0.2685448341250075
Puttalam,asthma_deaths,tc_loss_ha,0.25288206882588005,0.25288206882588005
Puttalam,asthma_deaths,vim_anomaly,0.14121541315669617,0.14121541315669617
Puttalam,asthma_deaths,vim,0.1009381863657326,0.1009381863657326
Puttalam,asthma_deaths,frp_total,-0.06837688942642549,0.06837688942642549
Puttalam,asthma_deaths,pm2.5_ug_m3,0.05174407706374954,0.05174407706374954
Puttalam,asthma_deaths,no2_ug_m3,0.04668907569116578,0.04668907569116578
Puttalam,asthma_live_discharges,female_population_1k,-0.7632103573749836,0.7632103573749836
Puttalam,asthma_live_discharges,total_population_1k,-0.7594684191019184,0.7594684191019184
Puttalam,asthma_live_discharges,male_population_1k,-0.7550735633058733,0.7550735633058733
Puttalam,asthma_live_discharges,carbon_gross_emissions_yearly,-0.45634110788461446,0.45634110788461446
Puttalam,asthma_live_discharges,tc_loss_ha,-0.4170683654067131,0.4170683654067131
Puttalam,asthma_live_discharges,vim_anomaly,-0.1625294566827761,0.1625294566827761
Puttalam,asthma_live_discharges,no2_ug_m3,-0.1196772495130133,0.1196772495130133
Puttalam,asthma_live_discharges,vim,-0.11476007398100399,0.11476007398100399
Puttalam,asthma_live_discharges,brightness,-0.11203996276660003,0.11203996276660003
Puttalam,asthma_live_discharges,frp_total,0.09120381838101815,0.09120381838101815
Puttalam,bronchitis_cfr,female_population_1k,-0.6055643423902126,0.6055643423902126
Puttalam,bronchitis_cfr,total_population_1k,-0.5989186445220723,0.5989186445220723
Puttalam,bronchitis_cfr,male_population_1k,-0.5914679310215017,0.5914679310215017
Puttalam,bronchitis_cfr,carbon_gross_emissions_yearly,-0.3211234924238043,0.3211234924238043
Puttalam,bronchitis_cfr,tc_loss_ha,-0.3074161549488114,0.3074161549488114
Puttalam,bronchitis_cfr,no2_ug_m3,-0.17216979739709443,0.17216979739709443
Puttalam,bronchitis_cfr,frp_total,0.1610780171785319,0.1610780171785319
Puttalam,bronchitis_cfr,brightness,-0.14521090020666166,0.14521090020666166
Puttalam,bronchitis_cfr,frp_mean,-0.09494081665887005,0.09494081665887005
Puttalam,bronchitis_cfr,so2_ug_m3,-0.05709387460361507,0.05709387460361507
Puttalam,bronchitis_deaths,carbon_gross_emissions_yearly,-0.671324572858569,0.671324572858569
Puttalam,bronchitis_deaths,male_population_1k,-0.6562262290023129,0.6562262290023129
Puttalam,bronchitis_deaths,tc_loss_ha,-0.653348003737393,0.653348003737393
Puttalam,bronchitis_deaths,total_population_1k,-0.6530555101511439,0.6530555101511439
Puttalam,bronchitis_deaths,female_population_1k,-0.6498293388562366,0.6498293388562366
Puttalam,bronchitis_deaths,brightness,-0.1309748525229299,0.1309748525229299
Puttalam,bronchitis_deaths,no2_ug_m3,-0.11247155684292978,0.11247155684292978
Puttalam,bronchitis_deaths,pm2.5_ug_m3,-0.06604779153803701,0.06604779153803701
Puttalam,bronchitis_deaths,frp_total,0.06498764297413524,0.06498764297413524
Puttalam,bronchitis_deaths,frp_mean,-0.06465567805135602,0.06465567805135602
Puttalam,bronchitis_live_discharges,female_population_1k,0.2493640251499409,0.2493640251499409
Puttalam,bronchitis_live_discharges,total_population_1k,0.24649392979665752,0.24649392979665752
Puttalam,bronchitis_live_discharges,male_population_1k,0.24328192094919193,0.24328192094919193
Puttalam,bronchitis_live_discharges,vim_anomaly,-0.1658497761673496,0.1658497761673496
Puttalam,bronchitis_live_discharges,frp_total,-0.1388493799006571,0.1388493799006571
Puttalam,bronchitis_live_discharges,no2_ug_m3,0.13670301751855038,0.13670301751855038
Puttalam,bronchitis_live_discharges,vim,-0.11565206462555505,0.11565206462555505
Puttalam,bronchitis_live_discharges,brightness,0.10276238213506518,0.10276238213506518
Puttalam,bronchitis_live_discharges,so2_ug_m3,0.0884174658298934,0.0884174658298934
Puttalam,bronchitis_live_discharges,tc_loss_ha,-0.0775921257531163,0.0775921257531163
