year,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
2014,5624.0,61.0,10.0,22.0,0.18000000000000002,36.07
2015,4595.0,335.0,16.0,18.0,0.3499999999999999,5.37
2016,3945.0,371.0,26.0,3.0,0.66,0.81
2017,3964.0,431.0,14.0,10.0,0.3499999999999999,2.32
2018,3581.0,463.0,13.0,7.0,0.36000000000000004,1.51
2019,4339.0,596.0,27.0,9.0,0.62,1.51
2020,2583.0,89.0,22.0,4.0,0.85,4.49
2021,2202.0,95.0,30.0,2.0,1.36,2.11
2022,2940.0,437.0,34.0,10.0,1.16,2.29
2023,3761.0,548.0,12.0,6.0,0.32,1.09
2024,4217.0,416.0,14.0,11.0,0.33,2.64
