,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr,pm2.5_ug_m3,no2_ug_m3,so2_ug_m3,frp_total,frp_mean,brightness,bright_t31,tc_loss_ha,carbon_gross_emissions_yearly,vim,vim_anomaly,vim_climatology,total_population_1k,male_population_1k,female_population_1k
asthma_live_discharges,1.0,0.6693689824017742,0.4904317557299847,0.6971252488405745,0.0945347967263028,0.009540321781347373,-0.07432047298632652,0.029095946030942146,-0.065764500862461,-0.004268140401849958,-0.07635501300941412,-0.08926548507534685,-0.08496439557272707,-0.06685768301339401,-0.040330537642611235,-0.06884844981867935,-0.08598987552597809,0.0006068721316573462,-0.07395927096136114,-0.07806229566803922,-0.06994714588862738
bronchitis_live_discharges,0.6693689824017742,1.0,0.4026524276913864,0.5317767686241592,0.1484234666991115,-0.5315939047733538,-0.08278784338487873,0.025006803842062934,-0.016946049550229502,-0.04040705482052132,-0.009962255905798278,-0.035887472731743454,-0.03159213134442707,-0.36642261797952835,-0.3347216474887814,-0.08891000379969544,-0.11374108044077699,0.0010216336823286167,0.10264984526267754,0.10164825504501196,0.10358427729363097
asthma_deaths,0.4904317557299847,0.4026524276913864,1.0,0.39433771526163924,0.9071014909755745,-0.03210079941339624,-0.04489391740807004,0.059637720179865635,-0.014624841794992058,0.04884628451568416,0.06321925494118842,0.031081672652115176,0.029937828267145812,0.07090637846506324,0.08791661111328442,0.0022978379301674744,0.0030656145164068478,-0.004805223065882255,0.24857239065569064,0.2557661158601898,0.24149374025896705
bronchitis_deaths,0.6971252488405745,0.5317767686241592,0.39433771526163924,1.0,0.1372017333757187,0.4206575157827715,-0.14594521417485534,-0.056122102695231275,-0.04333806259645916,-0.047533505476462234,-0.10425440617096433,-0.10428895202866391,-0.10238798936876013,-0.46914315729729517,-0.4462953005610544,-0.004938366887513231,-0.006303083589125776,-0.0020484845070856757,-0.40341267229075517,-0.3990552724640581,-0.4074939823863599
asthma_cfr,0.0945347967263028,0.1484234666991115,0.9071014909755745,0.1372017333757187,1.0,-0.02789833550514819,0.008675116356471252,0.05831408959223135,0.03350094826089639,0.04209692620759418,0.09672557702062028,0.06086896028021278,0.057401234832753306,0.09739032377192972,0.1081639644966987,0.03220896507286945,0.04090012746561164,-0.006070857484549336,0.33314762764167993,0.34268977998816047,0.3237568398979981
bronchitis_cfr,0.009540321781347373,-0.5315939047733538,-0.03210079941339624,0.4206575157827715,-0.02789833550514819,1.0,-0.019753886956570682,-0.0793710391942566,-0.006260639646535537,0.008992065709076881,-0.08107737039913201,-0.051001477704867904,-0.05365222053890138,0.028712981988844304,0.016852422641140084,0.08326715085560879,0.10615037059599072,-0.0027215312812619514,-0.5166562037860281,-0.5118656625847664,-0.5211159613476225
pm2.5_ug_m3,-0.07432047298632652,-0.08278784338487873,-0.04489391740807004,-0.14594521417485534,0.008675116356471252,-0.019753886956570682,1.0,-0.3839052079340408,0.24387079105827497,0.13897335645659298,0.04008218080800451,0.15781667612579417,0.1665377447649762,0.15805733596613303,0.1516075722491904,-0.12385888779106313,0.05266908668387693,-0.24707163954064598,0.030868583323049342,0.02653188481657783,0.035068582155835894
no2_ug_m3,0.029095946030942146,0.025006803842062934,0.059637720179865635,-0.056122102695231275,0.05831408959223135,-0.0793710391942566,-0.3839052079340408,1.0,-0.0764591401479663,-0.40373099355865094,-0.15553838804523962,-0.19426639880914542,-0.19518545931790882,0.13542204533106197,0.14883086271231896,0.4254234253182426,-0.041603745679475314,0.6697514840286172,0.23902856875687462,0.23859753544971243,0.23935810742288416
so2_ug_m3,-0.065764500862461,-0.016946049550229502,-0.014624841794992058,-0.04333806259645916,0.03350094826089639,-0.006260639646535537,0.24387079105827497,-0.0764591401479663,1.0,0.12562147594915066,-0.01648389554026951,-0.10745990223269586,-0.10863798987090942,0.06717236080702049,0.06466526994826179,-0.21749994024707825,-0.15698566509919062,-0.13354851835008574,0.04991927676163785,0.04767911260112339,0.05207617032103583
frp_total,-0.004268140401849958,-0.04040705482052132,0.04884628451568416,-0.047533505476462234,0.04209692620759418,0.008992065709076881,0.13897335645659298,-0.40373099355865094,0.12562147594915066,1.0,0.36100940943301457,0.3161774020518279,0.315817455090059,0.09930063419890904,0.08271784992044456,-0.545336648634837,-0.21964238073464362,-0.5428459177313105,-0.0661117074332245,-0.06761301035821426,-0.06462911666470911
frp_mean,-0.07635501300941412,-0.009962255905798278,0.06321925494118842,-0.10425440617096433,0.09672557702062028,-0.08107737039913201,0.04008218080800451,-0.15553838804523962,-0.01648389554026951,0.36100940943301457,1.0,0.6789226305282596,0.6611080382907125,0.09699873964850111,0.08415611212467063,-0.18838568496763716,0.060237033267860854,-0.34605909891392234,0.043803897276494745,0.04409378842430879,0.043506055946588296
brightness,-0.08926548507534685,-0.035887472731743454,0.031081672652115176,-0.10428895202866391,0.06086896028021278,-0.051001477704867904,0.15781667612579417,-0.19426639880914542,-0.10745990223269586,0.3161774020518279,0.6789226305282596,1.0,0.998916750498051,0.07756901981787828,0.06414686323766826,-0.15901421839451507,0.1142126272289504,-0.3679963997315563,-0.034318121068459925,-0.03305152079961507,-0.035535369559542354
bright_t31,-0.08496439557272707,-0.03159213134442707,0.029937828267145812,-0.10238798936876013,0.057401234832753306,-0.05365222053890138,0.1665377447649762,-0.19518545931790882,-0.10863798987090942,0.315817455090059,0.6611080382907125,0.998916750498051,1.0,0.0761707421532753,0.06295509247177924,-0.15750407841996955,0.11442671388289634,-0.3661321676511937,-0.03600547805823462,-0.034760481192807884,-0.0372011182013022
tc_loss_ha,-0.06685768301339401,-0.36642261797952835,0.07090637846506324,-0.46914315729729517,0.09739032377192972,0.028712981988844304,0.15805733596613303,0.13542204533106197,0.06717236080702049,0.09930063419890904,0.09699873964850111,0.07756901981787828,0.0761707421532753,1.0,0.9970898025322666,0.06572319042698595,0.07944013750050379,0.0033969998255453716,0.4772003841739314,0.4751744654587129,0.47899003264981016
carbon_gross_emissions_yearly,-0.040330537642611235,-0.3347216474887814,0.08791661111328442,-0.4462953005610544,0.1081639644966987,0.016852422641140084,0.1516075722491904,0.14883086271231896,0.06466526994826179,0.08271784992044456,0.08415611212467063,0.06414686323766826,0.06295509247177924,0.9970898025322666,1.0,0.0711069626377851,0.08665397829072144,0.00305561937093235,0.5173346013171115,0.515459809137996,0.5189625341226164
vim,-0.06884844981867935,-0.08891000379969544,0.0022978379301674744,-0.004938366887513231,0.03220896507286945,0.08326715085560879,-0.12385888779106313,0.4254234253182426,-0.21749994024707825,-0.545336648634837,-0.18838568496763716,-0.15901421839451507,-0.15750407841996955,0.06572319042698595,0.0711069626377851,1.0,0.729242825749734,0.5973384364963406,0.08071694197316927,0.08314911543513683,0.07832491346261229
vim_anomaly,-0.08598987552597809,-0.11374108044077699,0.0030656145164068478,-0.006303083589125776,0.04090012746561164,0.10615037059599072,0.05266908668387693,-0.041603745679475314,-0.15698566509919062,-0.21964238073464362,0.060237033267860854,0.1142126272289504,0.11442671388289634,0.07944013750050379,0.08665397829072144,0.729242825749734,1.0,-0.1127843576511499,0.10045549524727618,0.10350189434328623,0.09745961999868336
vim_climatology,0.0006068721316573462,0.0010216336823286167,-0.004805223065882255,-0.0020484845070856757,-0.006070857484549336,-0.0027215312812619514,-0.24707163954064598,0.6697514840286172,-0.13354851835008574,-0.5428459177313105,-0.34605909891392234,-0.3679963997315563,-0.3661321676511937,0.0033969998255453716,0.00305561937093235,0.5973384364963406,-0.1127843576511499,1.0,0.0010861054863109609,0.001013166757115778,0.001156533859284569
total_population_1k,-0.07395927096136114,0.10264984526267754,0.24857239065569064,-0.40341267229075517,0.33314762764167993,-0.5166562037860281,0.030868583323049342,0.23902856875687462,0.04991927676163785,-0.0661117074332245,0.043803897276494745,-0.034318121068459925,-0.03600547805823462,0.4772003841739314,0.5173346013171115,0.08071694197316927,0.10045549524727618,0.0010861054863109609,1.0,0.999805375975256,0.9998164522816765
male_population_1k,-0.07806229566803922,0.10164825504501196,0.2557661158601898,-0.3990552724640581,0.34268977998816047,-0.5118656625847664,0.02653188481657783,0.23859753544971243,0.04767911260112339,-0.06761301035821426,0.04409378842430879,-0.03305152079961507,-0.034760481192807884,0.4751744654587129,0.515459809137996,0.08314911543513683,0.10350189434328623,0.001013166757115778,0.999805375975256,1.0,0.9992438902170641
female_population_1k,-0.06994714588862738,0.10358427729363097,0.24149374025896705,-0.4074939823863599,0.3237568398979981,-0.5211159613476225,0.035068582155835894,0.23935810742288416,0.05207617032103583,-0.06462911666470911,0.043506055946588296,-0.035535369559542354,-0.0372011182013022,0.47899003264981016,0.5189625341226164,0.07832491346261229,0.09745961999868336,0.001156533859284569,0.9998164522816765,0.9992438902170641,1.0
