year,January,February,March,April,May,June,July,August,September,October,November,December
2014,9749.0,9749.0,9749.0,9749.0,9749.0,9749.0,9749.0,9749.0,9749.0,9749.0,9749.0,9749.0
2015,11072.0,11072.0,11072.0,11072.0,11072.0,11072.0,11072.0,11072.0,11072.0,11072.0,11072.0,11072.0
2016,9671.0,9671.0,9671.0,9671.0,9671.0,9671.0,9671.0,9671.0,9671.0,9671.0,9671.0,9671.0
2017,9465.0,9465.0,9465.0,9465.0,9465.0,9465.0,9465.0,9465.0,9465.0,9465.0,9465.0,9465.0
2018,11209.0,11209.0,11209.0,11209.0,11209.0,11209.0,11209.0,11209.0,11209.0,11209.0,11209.0,11209.0
2019,11345.0,11345.0,11345.0,11345.0,11345.0,11345.0,11345.0,11345.0,11345.0,11345.0,11345.0,11345.0
2020,9385.0,9385.0,9385.0,9385.0,9385.0,9385.0,9385.0,9385.0,9385.0,9385.0,9385.0,9385.0
2021,4718.0,4718.0,4718.0,4718.0,4718.0,4718.0,4718.0,4718.0,4718.0,4718.0,4718.0,4718.0
2022,9620.0,9620.0,9620.0,9620.0,9620.0,9620.0,9620.0,9620.0,9620.0,9620.0,9620.0,9620.0
2023,13355.0,13355.0,13355.0,13355.0,13355.0,13355.0,13355.0,13355.0,13355.0,13355.0,13355.0,13355.0
2024,11827.0,11827.0,11827.0,11827.0,11827.0,11827.0,11827.0,11827.0,11827.0,11827.0,11827.0,11827.0
