year,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
2014,9749.0,1755.0,21.0,38.0,0.22,2.17
2015,11072.0,1256.0,33.0,61.0,0.3,4.86
2016,9671.0,887.0,28.0,29.0,0.29,3.27
2017,9465.0,858.0,36.0,33.0,0.38000000000000006,3.85
2018,11209.0,982.0,36.0,39.0,0.32,3.97
2019,11345.0,1069.0,21.0,28.0,0.19000000000000003,2.62
2020,9385.0,1071.0,20.0,29.0,0.21,2.7099999999999995
2021,4718.0,582.0,16.0,15.0,0.34,2.58
2022,9620.0,1538.0,53.0,35.0,0.55,2.28
2023,13355.0,2092.0,81.0,45.0,0.61,2.15
2024,11827.0,2112.0,15.0,40.0,0.13,1.89
