,pm2.5_ug_m3,no2_ug_m3,so2_ug_m3,vim,vim_anomaly,tc_loss_ha,frp_total,carbon_gross_emissions_yearly,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
pm2.5_ug_m3,1.0,-0.22518961106064045,0.3767709425017273,-0.07567470012010133,-0.05226168778290284,0.15279796331300075,0.2380728098276162,0.13896946081496075,0.06835838063472317,0.032149259066408344,-0.05526811038130909,0.12489665862620077,-0.134872646935493,0.13701022232395393
no2_ug_m3,-0.22518961106064045,1.0,-0.17019947368095517,-0.025370725873512866,0.08872953707838059,-0.058904521860697646,-0.36682442108761787,0.012474695902572639,0.01607962912030132,-0.05125907249280664,-0.31927567442347216,0.005868956243842949,-0.32264281813345713,0.07811414373990776
so2_ug_m3,0.3767709425017273,-0.17019947368095517,1.0,-0.34430567952847557,0.20804610465176898,-0.0036678851022697795,0.4610705412784594,0.0014528760288018683,-0.027585523434219796,-0.013993875609056286,-0.0019790678570814715,0.032921337673475125,0.0008467460128161509,0.04961435009157397
vim,-0.07567470012010133,-0.025370725873512866,-0.34430567952847557,1.0,0.5521844992338691,-0.024339894678237724,-0.5270556937618834,0.002297716669917525,-0.034499031181549546,-0.05479212174296224,-0.02244788679307553,0.05881461019076489,-0.028407066872884346,0.12618683325441843
vim_anomaly,-0.05226168778290284,0.08872953707838059,0.20804610465176898,0.5521844992338691,1.0,-0.05157177890917081,-0.20146427074454137,-0.011240172364073077,-0.04740363718029065,-0.07552723987889394,-0.03232395837835778,0.1021577583303661,-0.05051365565284887,0.20457175254333668
tc_loss_ha,0.15279796331300075,-0.058904521860697646,-0.0036678851022697795,-0.024339894678237724,-0.05157177890917081,1.0,0.06169020842559825,0.9814065515277168,0.04316435340766773,-0.04222859719580221,0.05832419294778797,0.3275059992979853,0.05852967040700133,0.3629524394973915
frp_total,0.2380728098276162,-0.36682442108761787,0.4610705412784594,-0.5270556937618834,-0.20146427074454137,0.06169020842559825,1.0,0.0375858648347545,0.015482870491316114,0.01536763383530503,0.08474862955410986,-0.07031387076815869,0.09574227536397516,-0.10895097463061937
carbon_gross_emissions_yearly,0.13896946081496075,0.012474695902572639,0.0014528760288018683,0.002297716669917525,-0.011240172364073077,0.9814065515277168,0.0375858648347545,1.0,0.031848422764936504,-0.10318107746592252,0.02484260793724784,0.29672331369821475,0.05133922721463579,0.3732028991619615
asthma_live_discharges,0.06835838063472317,0.01607962912030132,-0.027585523434219796,-0.034499031181549546,-0.04740363718029065,0.04316435340766773,0.015482870491316114,0.031848422764936504,1.0,0.7475992707141272,0.43565787078083174,0.33607145272777605,-0.17745967174967756,-0.08536235574808142
bronchitis_live_discharges,0.032149259066408344,-0.05125907249280664,-0.013993875609056286,-0.05479212174296224,-0.07552723987889394,-0.04222859719580221,0.01536763383530503,-0.10318107746592252,0.7475992707141272,1.0,0.2623431013914561,0.595752733959363,-0.20044925558352128,-0.030455221480232803
asthma_deaths,-0.05526811038130909,-0.31927567442347216,-0.0019790678570814715,-0.02244788679307553,-0.03232395837835778,0.05832419294778797,0.08474862955410986,0.02484260793724784,0.43565787078083174,0.2623431013914561,1.0,0.04203896199459179,0.7526528398187743,-0.18509910320388823
bronchitis_deaths,0.12489665862620077,0.005868956243842949,0.032921337673475125,0.05881461019076489,0.1021577583303661,0.3275059992979853,-0.07031387076815869,0.29672331369821475,0.33607145272777605,0.595752733959363,0.04203896199459179,1.0,-0.3124810443166462,0.7636470275730292
asthma_cfr,-0.134872646935493,-0.32264281813345713,0.0008467460128161509,-0.028407066872884346,-0.05051365565284887,0.05852967040700133,0.09574227536397516,0.05133922721463579,-0.17745967174967756,-0.20044925558352128,0.7526528398187743,-0.3124810443166462,1.0,-0.3637050464487647
bronchitis_cfr,0.13701022232395393,0.07811414373990776,0.04961435009157397,0.12618683325441843,0.20457175254333668,0.3629524394973915,-0.10895097463061937,0.3732028991619615,-0.08536235574808142,-0.030455221480232803,-0.18509910320388823,0.7636470275730292,-0.3637050464487647,1.0
