year,January,February,March,April,May,June,July,August,September,October,November,December
2014,3.835857705,4.307793872,4.260324581,5.608311814,5.54227912,3.634133957,3.395331366,4.644192319,4.593315349,5.537384722,5.634628005,4.673133921
2015,4.155131871,4.660507218,4.806653028,5.873958799,5.729993752,4.837415603,3.855105018,4.328345561,5.117419361,5.659552797,5.948502592,4.268923041
2016,4.099039845,4.393023659,5.061461759,6.126724476,5.428280883,4.304884443,4.555219736,4.46993096,4.482910436,5.904614183,5.190605224,5.929666007
2017,5.058893881,5.376747162,7.146516052,6.809120597,5.266645487,4.63599509,4.615128888,4.666637614,5.592281125,6.042335479,6.346182341,6.17600277
2018,5.76290042,5.331421886,6.815617847,6.530741283,6.461266455,5.178771319,4.638770311,4.763369739,5.880415861,6.92993372,6.555405614,6.387981966
2019,4.843760888,6.24618757,6.715896533,6.967853048,5.584159418,5.101273105,5.338877098,5.185091713,5.885596804,7.707051817,7.817009996,5.519453262
2020,5.859442221,4.661077527,5.542434943,6.097000766,6.36259501,5.658591677,6.082551229,5.806314891,6.353007221,6.593897991,6.665564883,6.264761833
2021,6.259331797,5.527843489,7.084468188,7.659476662,6.281532348,5.563434996,4.77965208,5.48410289,6.151712563,7.172371813,7.831362012,6.222855464
2022,6.607503884,5.572214292,7.7375416,7.522003147,5.497143515,5.505453443,5.508516637,5.087965435,5.405559312,7.160309853,8.144531357,6.623879519
2023,5.010506456,5.348564577,7.18909057,6.683234837,7.464134806,5.298745927,5.324100278,5.083643342,5.775576946,7.82048585,7.606946205,5.694515505
2024,6.160296248,5.392630778,6.050385307,6.442044719,6.501614621,5.59396552,5.007777214,5.690110948,5.259444937,7.923438355,6.953460498,8.156881929
