year,January,February,March,April,May,June,July,August,September,October,November,December
2014,15.86815724,13.79571126,16.99277457,14.71742822,17.42622221,21.04613357,17.34018524,19.0849902,14.97904169,8.511403197,19.49179303,12.98986377
2015,11.38749925,13.87457862,15.42861414,8.966052712,19.90449575,17.71509127,19.26269635,14.95354137,12.68845464,9.417191389,7.92018908,10.40045899
2016,15.36508534,16.94644636,12.6749496,11.99495467,15.72709935,19.47680879,19.89367123,18.25213798,18.54563124,21.58976732,16.82685666,18.05392966
2017,14.99914399,15.01540089,14.12931486,26.80389242,17.45874632,16.16308885,21.64194733,17.61540047,15.09093638,15.16359984,16.70387135,13.42643855
2018,19.51267915,16.95273802,17.80487005,11.89527406,16.20614573,19.89641153,20.03205855,23.58814592,16.25528739,10.28359241,17.47599681,17.80392799
2019,17.221055,13.9485342,17.60750903,13.96779278,22.18884065,19.76001719,21.54684598,20.6080705,14.57973942,6.619837825,13.91938487,11.1999059
2020,12.47936606,15.27670878,13.73135053,11.18047688,17.93138546,16.41426147,15.44400621,15.17175407,13.20583569,19.14781139,12.05707955,14.78065496
2021,12.32772524,17.54695385,17.27190474,22.54684815,12.70424166,17.7461437,16.8032728,16.23722073,16.70869578,13.27841269,10.90931025,11.83467633
2022,14.2872042,16.85143718,24.73979406,10.93256871,25.5724573,18.43914932,21.82184228,15.76381047,16.08529158,12.65618544,18.79239122,16.61936026
2023,19.09224774,17.68978366,15.51860149,15.11767485,16.74246053,18.06500765,18.38094261,17.34287108,14.34902039,12.00700183,8.116737988,12.43559181
2024,14.58959193,20.64952691,19.35236383,11.70956676,17.41178528,17.81917505,21.4633443,17.96590579,16.44788839,12.2396004,15.22112188,17.97285698
