year,January,February,March,April,May,June,July,August,September,October,November,December
2014,0.76025,0.7065,0.64125,0.587666667,0.6765,0.6545,0.5625,0.566,0.58675,0.627333333,0.65225,0.72275
2015,0.72825,0.6875,0.6455,0.649,0.65875,0.71725,0.66275,0.5715,0.64025,0.674666667,0.67375,0.7535
2016,0.76225,0.68475,0.647,0.61075,0.679333333,0.7115,0.64625,0.60175,0.563,0.571,0.469666667,0.721
2017,0.74775,0.71075,0.6715,0.630666667,0.62675,0.667,0.625,0.63625,0.64925,0.662333333,0.671,0.745
2018,0.75775,0.6725,0.66525,0.646,0.649,0.70025,0.63875,0.60075,0.5715,0.659666667,0.7065,0.739
2019,0.74625,0.67625,0.636,0.602333333,0.64275,0.661,0.62925,0.60775,0.61525,0.459666667,0.67825,0.743
2020,0.7235,0.66775,0.6025,0.60725,0.706,0.72125,0.691,0.61675,0.64575,0.58075,0.631333333,0.75875
2021,0.758,0.66275,0.61825,0.634333333,0.72175,0.728,0.6655,0.68125,0.639,0.673666667,0.6745,0.731
2022,0.74525,0.639,0.6435,0.626333333,0.66275,0.67475,0.626,0.6645,0.6405,0.623666667,0.664666667,0.741
2023,0.7395,0.69075,0.626,0.604666667,0.67425,0.71975,0.68475,0.595,0.60225,0.655,0.69175,0.75625
2024,0.7385,0.67,0.6365,0.633,0.712333333,0.73425,0.663,0.63675,0.61375,0.62575,0.702666667,0.754
