month,pm2.5_ug_m3,frp_total,vim,asthma_live_discharges,bronchitis_live_discharges,no2_ug_m3
January,15.193614103636365,7.629999999999999,0.7461136363636364,7824.090909090909,2019.090909090909,5.241151383272728
February,16.231619975454546,90.8209090909091,0.6789545454545455,7824.090909090909,2019.090909090909,5.165273820909091
March,16.841095172727275,262.3,0.6393863636363636,7824.090909090909,2019.090909090909,6.219126400727273
April,14.530230019272727,170.61,0.621090909090909,7824.090909090909,2019.090909090909,6.574588195272727
May,18.11580729454545,74.60454545454546,0.6736515150909091,7824.090909090909,2019.090909090909,6.01087685590909
June,18.41284439909091,242.2209090909091,0.6990454545454545,7824.090909090909,2019.090909090909,5.0284240981818185
July,19.42098298909091,590.3390909090909,0.6449772727272727,7824.090909090909,2019.090909090909,4.827366350454546
August,17.87125896181818,1243.8990909090908,0.6162045454545454,7824.090909090909,2019.090909090909,5.019064128363636
September,15.357802053636362,796.8236363636363,0.6152045454545454,7824.090909090909,2019.090909090909,5.499749083181818
October,12.810400339181818,177.66454545454548,0.619409091,7824.090909090909,2019.090909090909,6.768306961818182
November,14.312248426181817,5.861818181818182,0.656030303090909,7824.090909090909,2019.090909090909,6.790381702454545
December,14.319787745454546,0.5927272727272727,0.7422954545454545,7824.090909090909,2019.090909090909,5.992550474272727
