,pm2.5_ug_m3,no2_ug_m3,so2_ug_m3,vim,vim_anomaly,tc_loss_ha,frp_total,carbon_gross_emissions_yearly,asthma_live_discharges,bronchitis_live_discharges,asthma_deaths,bronchitis_deaths,asthma_cfr,bronchitis_cfr
pm2.5_ug_m3,1.0,-0.28358415464347914,0.3759328825662514,-0.306830365969379,-0.21509561951437045,0.06021967251404785,0.08792928802058775,0.05882958251090448,-0.06667887190511936,-0.0035035006772499416,0.02503122942205152,0.05702330276210201,0.089890862656553,0.06837119475908969
no2_ug_m3,-0.28358415464347914,1.0,-0.21835034139687565,0.05192100577914049,0.07144074149283164,-0.11717674739689697,-0.30200793958807415,-0.09592430083028794,-0.1495865671593155,0.17071128432332144,-0.04872403271955496,0.1365832903510311,0.058331004606766865,-0.1398085778361148
so2_ug_m3,0.3759328825662514,-0.21835034139687565,1.0,-0.5121579277047009,0.14136645759900027,0.0039537259240021855,0.4198662159851974,0.00986332256551044,-0.027232935611112893,0.011848790988817082,-0.0014565849127460826,0.041579425247854955,0.028056115642894248,0.02001495336791504
vim,-0.306830365969379,0.05192100577914049,-0.5121579277047009,1.0,0.4602015127056286,-0.03790739992285456,-0.5928568128256948,-0.04132114771731744,-0.045211406282487404,-0.09371809193335491,-0.005534476869371585,-0.09108478865125348,0.03788838103926345,0.01696105307029881
vim_anomaly,-0.21509561951437045,0.07144074149283164,0.14136645759900027,0.4602015127056286,1.0,-0.07957153838557869,-0.3032299035437543,-0.08511769902433707,-0.06861353926968046,-0.1472262167610717,0.01002040075765923,-0.14883705833977845,0.08411444739143845,0.012384652706354532
tc_loss_ha,0.06021967251404785,-0.11717674739689697,0.0039537259240021855,-0.03790739992285456,-0.07957153838557869,1.0,0.11057418867385121,0.9886407144337089,-0.050621265605408104,-0.4699904367139876,-0.6280862431716555,-0.23766302648700552,-0.7471672699789668,0.6886705774696594
frp_total,0.08792928802058775,-0.30200793958807415,0.4198662159851974,-0.5928568128256948,-0.3032299035437543,0.11057418867385121,1.0,0.0936869185256385,0.10574582493557823,-0.07718489650538822,0.03238987261926674,-0.06233039010009082,-0.056232995833252385,0.1088613153668585
carbon_gross_emissions_yearly,0.05882958251090448,-0.09592430083028794,0.00986332256551044,-0.04132114771731744,-0.08511769902433707,0.9886407144337089,0.0936869185256385,1.0,-0.09070975988219072,-0.3906293382273856,-0.6445568416498713,-0.17078861962812497,-0.7298002736149329,0.6606061552016445
asthma_live_discharges,-0.06667887190511936,-0.1495865671593155,-0.027232935611112893,-0.045211406282487404,-0.06861353926968046,-0.050621265605408104,0.10574582493557823,-0.09070975988219072,1.0,0.1633695407887773,0.6064341380202695,0.38003645051293033,-0.0005898660373999016,0.09015363437913226
bronchitis_live_discharges,-0.0035035006772499416,0.17071128432332144,0.011848790988817082,-0.09371809193335491,-0.1472262167610717,-0.4699904367139876,-0.07718489650538822,-0.3906293382273856,0.1633695407887773,1.0,0.35842970401587376,0.8197269229263421,0.30455868781352896,-0.7420969871329517
asthma_deaths,0.02503122942205152,-0.04872403271955496,-0.0014565849127460826,-0.005534476869371585,0.01002040075765923,-0.6280862431716555,0.03238987261926674,-0.6445568416498713,0.6064341380202695,0.35842970401587376,1.0,0.22908697624651433,0.7832461074375551,-0.4124543292504782
bronchitis_deaths,0.05702330276210201,0.1365832903510311,0.041579425247854955,-0.09108478865125348,-0.14883705833977845,-0.23766302648700552,-0.06233039010009082,-0.17078861962812497,0.38003645051293033,0.8197269229263421,0.22908697624651433,1.0,0.031174024032435667,-0.3486045487738575
asthma_cfr,0.089890862656553,0.058331004606766865,0.028056115642894248,0.03788838103926345,0.08411444739143845,-0.7471672699789668,-0.056232995833252385,-0.7298002736149329,-0.0005898660373999016,0.30455868781352896,0.7832461074375551,0.031174024032435667,1.0,-0.553989107582689
bronchitis_cfr,0.06837119475908969,-0.1398085778361148,0.02001495336791504,0.01696105307029881,0.012384652706354532,0.6886705774696594,0.1088613153668585,0.6606061552016445,0.09015363437913226,-0.7420969871329517,-0.4124543292504782,-0.3486045487738575,-0.553989107582689,1.0
