district,target,feature,correlation
Anuradhapura,asthma_live_discharges,no2_ug_m3,-0.14958656715931576
Anuradhapura,asthma_live_discharges,carbon_gross_emissions_yearly,-0.09070975988219047
Anuradhapura,asthma_live_discharges,vim_anomaly,-0.06861353926968042
Anuradhapura,asthma_live_discharges,pm2.5_ug_m3,-0.06667887190511936
Anuradhapura,asthma_live_discharges,tc_loss_ha,-0.05062126560540815
Anuradhapura,asthma_live_discharges,vim,-0.04521140628248933
Anuradhapura,asthma_live_discharges,so2_ug_m3,-0.02723293561111299
Anuradhapura,asthma_live_discharges,frp_total,0.10574582493557819
Anuradhapura,bronchitis_live_discharges,tc_loss_ha,-0.46999043671398716
Anuradhapura,bronchitis_live_discharges,carbon_gross_emissions_yearly,-0.39062933822738566
Anuradhapura,bronchitis_live_discharges,vim_anomaly,-0.14722621676107164
Anuradhapura,bronchitis_live_discharges,vim,-0.09371809193335438
Anuradhapura,bronchitis_live_discharges,frp_total,-0.07718489650538825
Anuradhapura,bronchitis_live_discharges,pm2.5_ug_m3,-0.0035035006772498665
Anuradhapura,bronchitis_live_discharges,so2_ug_m3,0.011848790988817033
Anuradhapura,bronchitis_live_discharges,no2_ug_m3,0.1707112843233213
Anuradhapura,asthma_deaths,carbon_gross_emissions_yearly,-0.6445568416498724
Anuradhapura,asthma_deaths,tc_loss_ha,-0.6280862431716558
Anuradhapura,asthma_deaths,no2_ug_m3,-0.048724032719554854
Anuradhapura,asthma_deaths,vim,-0.005534476869373067
Anuradhapura,asthma_deaths,so2_ug_m3,-0.0014565849127460893
Anuradhapura,asthma_deaths,vim_anomaly,0.010020400757659255
Anuradhapura,asthma_deaths,pm2.5_ug_m3,0.025031229422051493
Anuradhapura,asthma_deaths,frp_total,0.032389872619266714
Anuradhapura,bronchitis_deaths,tc_loss_ha,-0.23766302648700585
Anuradhapura,bronchitis_deaths,carbon_gross_emissions_yearly,-0.17078861962812472
Anuradhapura,bronchitis_deaths,vim_anomaly,-0.14883705833977848
Anuradhapura,bronchitis_deaths,vim,-0.09108478865125341
Anuradhapura,bronchitis_deaths,frp_total,-0.06233039010009085
Anuradhapura,bronchitis_deaths,so2_ug_m3,0.041579425247854865
Anuradhapura,bronchitis_deaths,pm2.5_ug_m3,0.057023302762102095
Anuradhapura,bronchitis_deaths,no2_ug_m3,0.13658329035103087
Anuradhapura,asthma_cfr,tc_loss_ha,-0.7471672699789675
Anuradhapura,asthma_cfr,carbon_gross_emissions_yearly,-0.7298002736149333
Anuradhapura,asthma_cfr,frp_total,-0.05623299583325237
Anuradhapura,asthma_cfr,so2_ug_m3,0.028056115642894227
Anuradhapura,asthma_cfr,vim,0.037888381039263015
Anuradhapura,asthma_cfr,no2_ug_m3,0.0583310046067671
Anuradhapura,asthma_cfr,vim_anomaly,0.08411444739143836
Anuradhapura,asthma_cfr,pm2.5_ug_m3,0.08989086265655274
Anuradhapura,bronchitis_cfr,no2_ug_m3,-0.1398085778361149
Anuradhapura,bronchitis_cfr,vim_anomaly,0.012384652706354488
Anuradhapura,bronchitis_cfr,vim,0.016961053070298375
Anuradhapura,bronchitis_cfr,so2_ug_m3,0.020014953367914975
Anuradhapura,bronchitis_cfr,pm2.5_ug_m3,0.06837119475908957
Anuradhapura,bronchitis_cfr,frp_total,0.1088613153668584
Anuradhapura,bronchitis_cfr,carbon_gross_emissions_yearly,0.6606061552016436
Anuradhapura,bronchitis_cfr,tc_loss_ha,0.6886705774696589
