year,January,February,March,April,May,June,July,August,September,October,November,December
2014,4.34,148.57,1394.74,460.02,32.04,488.3,1431.99,5612.75,4780.57,24.68,0.0,0.0
2015,0.0,36.28,201.75,3.51,1.68,34.32,271.02,1479.49,1956.55,91.26,0.0,1.8
2016,0.0,167.7,997.02,297.78,18.99,8.37,123.16,2280.07,4655.55,3347.95,4.0,3.01
2017,14.79,23.11,22.44,269.43,132.57,838.03,4022.63,666.6,123.33,228.34,0.0,0.0
2018,20.74,489.46,454.93,196.83,30.47,52.27,1524.38,3351.03,3444.21,5.51,4.75,0.0
2019,17.37,48.91,1662.08,832.78,157.73,242.93,801.27,1501.46,1289.88,23.29,0.0,0.0
2020,2.39,192.94,692.27,416.55,9.7,37.81,19.57,3148.59,1205.96,1782.0,70.77,0.0
2021,0.0,97.44,171.17,151.6,2.51,98.21,226.78,658.75,2062.91,35.09,0.0,3.47
2022,5.0,34.38,141.86,9.5,6.04,69.17,396.46,260.95,3097.76,110.0,4.03,0.0
2023,3.22,58.04,83.06,121.48,103.39,155.31,1054.76,4897.3,963.4,72.01,0.0,0.0
2024,0.0,53.35,938.56,106.75,0.0,0.0,87.51,450.7,2066.73,176.85,8.99,1.27
