year,January,February,March,April,May,June,July,August,September,October,November,December
2014,2.418163654,2.895150211,3.202256718,5.107150271,4.08573171,2.068668797,1.863098368,2.787933555,3.206079868,5.567819266,5.314683476,3.369748254
2015,3.170076663,3.220346467,4.507639225,6.224002396,4.300374444,2.802546704,2.279344233,2.932557228,3.61266088,5.283481061,5.975374514,3.741235984
2016,2.744357062,3.017052952,4.387992615,5.742289084,4.476089741,2.599678411,2.795286795,2.630158893,2.761277286,4.194208143,4.528537833,4.834714044
2017,3.085908771,3.791688439,7.552085562,5.292688827,4.076393531,2.820400866,3.145906824,3.085606262,3.899205635,4.819957874,5.630439353,5.295877358
2018,4.029634106,2.970834268,5.249648307,6.224794194,5.093034156,2.741837908,2.668698919,2.93673478,4.550352686,6.887526398,6.057636939,4.660708221
2019,2.9717539,4.29175528,5.583808329,6.808498524,3.578588294,2.835205816,3.342519066,3.002637808,4.598433804,8.063468843,7.038745089,3.948598554
2020,3.665987084,2.744921104,4.592217834,5.913645233,5.040547604,3.255363251,4.003283779,3.215668248,3.869698347,4.419653316,6.139151062,4.651365477
2021,4.66007606,3.48621475,5.083510548,6.04459382,4.858814446,3.0855596,3.05005089,3.322079254,3.721022005,5.697348169,5.798106625,4.745178128
2022,5.578341767,3.96009501,5.399325091,7.186005347,3.229514211,3.36075399,3.940562835,3.354865717,3.499041571,5.547502493,7.108841567,4.857396375
2023,3.243021236,3.199163322,5.543937518,6.404033007,4.980383483,3.073469187,2.891922596,3.531207625,3.769959465,7.321907733,8.000008474,4.091093836
2024,4.402600362,3.646422872,5.402111836,6.09947789,5.445796722,3.415226686,2.647612771,3.916017181,3.284029379,6.179307313,6.241287277,6.45132396
