year,January,February,March,April,May,June,July,August,September,October,November,December
2014,0.76825,0.729,0.65125,0.637,0.70925,0.663,0.603,0.63125,0.62025,0.715333333,0.71825,0.7235
2015,0.7555,0.711,0.65875,0.676666667,0.70025,0.715,0.64375,0.6675,0.69175,0.729666667,0.7155,0.76925
2016,0.76275,0.7205,0.6455,0.66275,0.735,0.7265,0.69675,0.6645,0.58875,0.63,0.712333333,0.76675
2017,0.75775,0.75,0.69575,0.654,0.67875,0.6615,0.5925,0.66825,0.72825,0.715,0.72,0.7595
2018,0.75575,0.70775,0.65425,0.665,0.70875,0.69375,0.61,0.583,0.6505,0.704666667,0.71275,0.753
2019,0.7625,0.711,0.62325,0.65,0.6625,0.6475,0.5915,0.66525,0.664,0.707333333,0.74325,0.7665
2020,0.77075,0.70925,0.61225,0.635,0.704,0.738,0.74175,0.69575,0.6665,0.64775,0.67,0.7405
2021,0.78025,0.74125,0.64925,0.654333333,0.711,0.702,0.698,0.65925,0.67175,0.703333333,0.71125,0.746
2022,0.7595,0.71075,0.6495,0.673666667,0.6935,0.6725,0.648,0.70625,0.66575,0.681666667,0.7035,0.73925
2023,0.7485,0.7235,0.6455,0.656333333,0.703,0.68775,0.64525,0.592,0.6175,0.672666667,0.699,0.76325
2024,0.7765,0.702,0.61075,0.63475,0.630666667,0.723,0.667,0.6725,0.63975,0.68775,0.7075,0.73875
