month,pm2.5_ug_m3,frp_total,vim,asthma_live_discharges,bronchitis_live_discharges,no2_ug_m3
January,15.48645008,6.168181818181818,0.7634545454545454,6336.181818181818,1629.1818181818182,3.6336291513636367
February,16.410601431818183,122.74363636363636,0.7196363636363636,6336.181818181818,1629.1818181818182,3.383967697727273
March,18.96293826090909,614.5345454545454,0.645090909090909,6336.181818181818,1629.1818181818182,5.136775780272727
April,16.906136820909094,260.56636363636363,0.6545000000000001,6336.181818181818,1629.1818181818182,6.09519805390909
May,20.773297697272728,45.01090909090909,0.6942424242727273,6336.181818181818,1629.1818181818182,4.469569849272727
June,20.57374631727273,184.06545454545454,0.6936818181818182,6336.181818181818,1629.1818181818182,2.9144282923636364
July,20.491132077272727,905.4118181818183,0.6488636363636364,6336.181818181818,1629.1818181818182,2.966207916
August,18.802049987272728,2209.7900000000004,0.6550454545454545,6336.181818181818,1629.1818181818182,3.1559515046363633
September,16.182754301818182,2331.531818181818,0.6549772727272727,6336.181818181818,1629.1818181818182,3.7065237205454546
October,14.297384318636364,536.0890909090908,0.690469697,6336.181818181818,1629.1818181818182,5.816561873545454
November,17.461035699090907,8.412727272727272,0.7103030302727272,6336.181818181818,1629.1818181818182,6.166619291727272
December,15.799201947636362,0.8681818181818183,0.7514772727272727,6336.181818181818,1629.1818181818182,4.604294562818182
