year,January,February,March,April,May,June,July,August,September,October,November,December
2014,9.680849878,10.06899379,8.724947046,12.38924473,9.301873829,5.476147905,5.062367718,7.449323271,8.019395961,11.35891153,11.53378243,11.05943055
2015,11.16830803,10.85223776,11.50201963,13.13537887,9.76593002,7.777260462,5.901502101,7.441004213,8.9462145,12.1325891,13.09328426,10.27965697
2016,10.5381321,9.14654053,8.971567688,11.1471415,9.949768709,6.333584548,6.953173387,6.768859346,6.796085307,11.24286004,13.57999227,14.63629415
2017,13.76122535,13.53134732,16.35906462,13.36287148,9.928535232,7.572128208,7.296427089,7.71581918,9.69319538,11.6895959,15.02081373,14.90988061
2018,15.90819785,12.72568078,14.89103331,16.19769205,11.86506357,7.879186397,7.076026228,7.57524076,11.1059599,15.75875583,16.01926784,16.44806012
2019,13.51208751,12.80529516,15.02206413,15.56770459,9.931085953,8.171409504,9.106124038,8.66449297,11.34326561,16.69306604,16.38721412,13.21730289
2020,13.96537764,10.87701566,15.00447571,15.0217958,12.42546212,9.474762066,10.33838433,10.11034538,10.7733318,12.09517997,16.58206229,15.99959271
2021,15.0890247,14.79536723,15.92427932,17.15649842,11.84199177,9.043380476,7.800008913,9.364070978,10.52673399,14.0257573,14.85932923,15.89200957
2022,16.37584462,14.86952431,16.6875676,16.77459621,8.631373158,8.871995197,9.599147,8.346840871,9.337831246,13.77732392,19.14609844,15.39315514
2023,13.97392592,13.10708419,16.46153256,17.01448337,12.8715781,8.479862906,8.669046431,8.962686816,10.23082512,16.01693193,17.16246675,12.4960843
2024,14.2619556,12.04508861,14.35200196,16.28659291,12.77079497,9.257542476,8.13493041,9.988178015,9.13747493,15.00166794,16.52664928,18.40241049
