year,January,February,March,April,May,June,July,August,September,October,November,December
2014,0.7845,0.74975,0.7295,0.692,0.745,0.73225,0.654,0.63225,0.65125,0.736333333,0.72925,0.75
2015,0.7715,0.74925,0.7235,0.739,0.72325,0.746,0.706,0.68775,0.7185,0.723333333,0.77075,0.793
2016,0.78125,0.7555,0.7135,0.71475,0.751,0.743,0.704,0.68675,0.63425,0.6335,0.728,0.755
2017,0.77625,0.77125,0.7455,0.736666667,0.72275,0.72625,0.67775,0.6945,0.73625,0.74,0.7165,0.77225
2018,0.7705,0.769,0.7345,0.709666667,0.73025,0.74425,0.691,0.679,0.66975,0.753,0.75825,0.7835
2019,0.77925,0.75725,0.7115,0.723333333,0.712,0.7165,0.696,0.64625,0.68,0.707,0.761,0.6945
2020,0.7795,0.758,0.70425,0.6955,0.752333333,0.7645,0.76725,0.724,0.71575,0.68425,0.666,0.775
2021,0.6785,0.782,0.7275,0.719,0.73125,0.749,0.72625,0.73075,0.70275,0.743666667,0.75675,0.773
2022,0.76925,0.77825,0.7255,0.725333333,0.72075,0.7085,0.667333333,0.68775,0.70675,0.749333333,0.72775,0.77325
2023,0.75625,0.7625,0.731,0.71,0.73,0.7465,0.7275,0.64575,0.7095,0.726,0.75325,0.758
2024,0.7835,0.7515,0.706,0.72075,0.736,0.74625,0.73,0.7085,0.67875,0.66275,0.730333333,0.76925
