month,pm2.5_ug_m3,frp_total,vim,asthma_live_discharges,bronchitis_live_discharges,no2_ug_m3
January,12.119823736545454,15.88090909090909,0.7663863636363636,5588.090909090909,2532.818181818182,13.475902654363637
February,13.371811582727274,26.48818181818182,0.7622045454545454,5588.090909090909,2532.818181818182,12.256743212727274
March,15.256573421818183,83.8,0.7229318181818182,5588.090909090909,2532.818181818182,13.990959415818184
April,13.396824624999999,47.46181818181819,0.7169090909090909,5588.090909090909,2532.818181818182,14.913999993636365
May,13.128251884727273,34.61272727272728,0.7322348484545455,5588.090909090909,2532.818181818182,10.843950675545456
June,12.502309054545453,176.66454545454545,0.7384545454545454,5588.090909090909,2532.818181818182,8.030660013181818
July,14.670454932727273,515.4445454545455,0.704280303,5588.090909090909,2532.818181818182,7.812467058636364
August,12.905932702181817,456.8,0.6839318181818181,5588.090909090909,2532.818181818182,8.398805618181818
September,10.540173826909092,1047.0854545454545,0.6912272727272728,5588.090909090909,2532.818181818182,9.628210340363637
October,10.075728691454545,168.62272727272727,0.7144696969090909,5588.090909090909,2532.818181818182,13.617512681818182
November,11.774403377636363,5.869090909090909,0.7361666666363637,5588.090909090909,2532.818181818182,15.446450967272728
December,10.922878837272727,2.14,0.7633409090909091,5588.090909090909,2532.818181818182,14.4303525
